fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
21481333.656250,1,3,1408,25.456,25.3881,312402.250000,1024,5,2,7,4,0.995549,64,2448,1,187,1500,32,4,535618.000000,4,13,3,0,6002,1408,0,384,1,21456160.765625,11,1,32,4,1,0.995602,1000,0,3,
21937871.296875,1,3,2112,23.9543,23.8904,278903.562500,1536,5,2,7,4,1.05796,64,3264,1,187,1000,32,6,529528.609375,4,13,3,0,6002,2112,0,576,1,21926262.875000,11,1,32,6,1,1.05801,1000,0,3,
21954806.578125,1,3,2816,23.7066,23.6434,289124.375000,2048,5,2,7,4,1.06902,64,4080,1,187,750,32,8,535977.109375,4,13,3,0,6002,2816,0,768,1,21951094.796875,11,1,32,8,1,1.06907,1000,0,3,
21731490.453125,1,3,3520,24.2721,24.2073,346145.093750,2560,5,2,7,4,1.04411,64,4896,1,187,600,32,10,569104.656250,4,13,3,0,6002,3520,0,960,1,21725581.765625,11,1,32,10,1,1.04416,1000,0,3,
21866229.609375,1,3,4224,23.762,23.6987,326479.843750,3072,5,2,7,4,1.06652,64,5712,1,187,500,32,12,580174.484375,4,13,3,0,6002,4224,0,1152,1,21862398.781250,11,1,32,12,1,1.06658,1000,0,3,
20950084.984375,1,3,2816,26.1322,25.9231,416367.546875,2048,5,2,7,4,0.969778,64,4752,1,93,1500,64,4,427204.890625,4,13,3,0,6002,2816,0,768,1,20927853.281250,11,1,64,4,1,0.969838,1000,0,3,
21090938.203125,1,3,4224,25.6859,25.4804,448403.578125,3072,5,2,7,4,0.986629,64,6336,1,93,1000,64,6,448377.140625,4,13,3,0,6002,4224,0,1152,1,21082638.640625,11,1,64,6,1,0.986691,1000,0,3,
21179094.375000,1,3,5632,25.2009,24.9993,459002.875000,4096,5,2,7,4,1.00563,64,7920,1,93,750,64,8,466843.546875,4,13,3,0,6002,5632,0,1536,1,21175831.265625,11,1,64,8,1,1.00568,1000,0,3,
21226423.093750,1,3,7040,24.6799,24.4825,473283.921875,5120,5,2,7,4,1.02685,64,9504,1,93,600,64,10,464825.187500,4,13,3,0,6002,7040,0,1920,1,21227659.234375,11,1,64,10,1,1.02691,1000,0,3,
21409627.375000,1,3,8448,24.2917,24.0973,452161.765625,6144,5,2,7,4,1.04327,64,11088,1,93,500,64,12,484177.453125,4,13,3,0,6002,8448,0,2304,1,21410182.171875,11,1,64,12,1,1.04332,1000,0,3,
20661817.765625,1,3,4224,26.6517,26.4385,496629.421875,3072,5,2,7,4,0.950876,64,7056,1,62,1500,96,4,410587.921875,4,13,3,0,6002,4224,0,1152,1,20655586.468750,11,1,96,4,1,0.950933,1000,0,3,
20784444.593750,1,3,6336,25.9128,25.7055,538337.171875,4608,5,2,7,4,0.977992,64,9408,1,62,1000,96,6,406464.421875,4,13,3,0,6002,6336,0,1728,1,20782552.203125,11,1,96,6,1,0.97805,1000,0,3,
21125662.015625,1,3,8448,25.1303,24.9292,505085.265625,6144,5,2,7,4,1.00845,64,11760,1,62,750,96,8,433746.953125,4,13,3,0,6002,8448,0,2304,1,21124919.828125,11,1,96,8,1,1.00851,1000,0,3,
20958159.781250,1,3,10560,23.5493,23.3609,534475.296875,7680,5,2,7,4,1.07614,64,14112,1,62,600,96,10,417212.468750,4,13,3,0,6002,10560,0,2880,1,20958537.593750,11,1,96,10,1,1.07621,1000,0,3,
20412307.125000,1,3,5632,26.9481,26.4451,529442.437500,4096,5,2,7,4,0.940412,64,9360,1,46,1500,128,4,394690.812500,4,13,3,0,6002,5632,0,1536,1,20405850.875000,11,1,128,4,1,0.940474,1000,0,3,
20740884.500000,1,3,8448,25.9856,25.5006,528393.609375,6144,5,2,7,4,0.975242,64,12480,1,46,1000,128,6,400322.843750,4,13,3,0,6002,8448,0,2304,1,20739634.203125,11,1,128,6,1,0.975308,1000,0,3,
20606881.343750,1,3,11264,24.2029,23.7511,545893.531250,8192,5,2,7,4,1.04709,64,15600,1,46,750,128,8,395420.421875,4,13,3,0,6002,11264,0,3072,1,20607252.359375,11,1,128,8,1,1.04715,1000,0,3,
22849021.781250,1,3,2816,35.021,74.7114,1009300.406250,1024,5,2,7,4,0.723613,64,2448,1,200,3000,30,2,1089995.156250,4,14,3,0,6004,1320,384,384,2,22849599.562500,11,1,32,4,0.46875,0.723681,1000,1024,3,
22307980.062500,1,3,4224,43.123,68.9968,650585.718750,1536,5,2,7,4,0.587652,64,3264,1,200,1500,30,4,907357.875000,4,14,3,0,6004,2640,576,576,2,22312966.343750,11,1,32,6,0.625,0.587714,1000,1536,3,
21914813.750000,1,3,5632,44.5109,63.3044,549219.000000,2048,5,2,7,4,0.569325,64,4080,1,200,1000,30,6,817946.281250,4,14,3,0,6004,3960,768,768,2,21915197.218750,11,1,32,8,0.703125,0.569388,1000,2048,3,
21683044.562500,1,3,7040,46.0588,61.4118,550142.031250,2560,5,2,7,4,0.550188,64,4896,1,200,750,30,8,720515.937500,4,14,3,0,6004,5280,960,960,2,21683676.437500,11,1,32,10,0.75,0.550253,1000,2560,3,
21617100.906250,1,3,8448,45.0494,57.6632,473372.500000,3072,5,2,7,4,0.562513,64,5712,1,200,600,30,10,744808.906250,4,14,3,0,6004,6600,1152,1152,2,21623754.218750,11,1,32,12,0.78125,0.562583,1000,3072,3,
22650642.750000,1,3,5632,39.1763,80.2331,1095983.375000,2048,5,2,7,4,0.646856,64,4752,1,96,3000,62,2,911508.593750,4,14,3,0,6004,2728,768,768,2,22663789.875000,11,1,64,4,0.484375,0.646921,1000,2048,3,
