Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,3,1408,115.079,114.772,1024,5,2,7,4,0,0.220162,64,2448,1,187,1500,Tesla C2050,32,4,4,13,3,3,6002,1408,0,384,1,11,1,32,4,1,0.220232,1000,0,8,3,
1,3,2112,115.63,115.322,1536,5,2,7,4,0,0.219111,64,3264,1,187,1000,Tesla C2050,32,6,4,13,3,3,6002,2112,0,576,1,11,1,32,6,1,0.219182,1000,0,8,3,
1,3,2816,115.503,115.195,2048,5,2,7,4,0,0.219346,64,4080,1,187,750,Tesla C2050,32,8,4,13,3,3,6002,2816,0,768,1,11,1,32,8,1,0.219423,1000,0,8,3,
1,3,3520,114.206,113.902,2560,5,2,7,4,0,0.221844,64,4896,1,187,600,Tesla C2050,32,10,4,13,3,3,6002,3520,0,960,1,11,1,32,10,1,0.221914,1000,0,8,3,
1,3,4224,114.159,113.855,3072,5,2,7,4,0,0.221934,64,5712,1,187,500,Tesla C2050,32,12,4,13,3,3,6002,4224,0,1152,1,11,1,32,12,1,0.222006,1000,0,8,3,
1,3,2816,116.117,115.188,2048,5,2,7,4,0,0.218189,64,4752,1,93,1500,Tesla C2050,64,4,4,13,3,3,6002,2816,0,768,1,11,1,64,4,1,0.218262,1000,0,8,3,
1,3,4224,114.768,113.85,3072,5,2,7,4,0,0.220754,64,6336,1,93,1000,Tesla C2050,64,6,4,13,3,3,6002,4224,0,1152,1,11,1,64,6,1,0.220828,1000,0,8,3,
1,3,5632,114.213,113.299,4096,5,2,7,4,0,0.221826,64,7920,1,93,750,Tesla C2050,64,8,4,13,3,3,6002,5632,0,1536,1,11,1,64,8,1,0.221902,1000,0,8,3,
1,3,7040,113.091,112.187,5120,5,2,7,4,0,0.224027,64,9504,1,93,600,Tesla C2050,64,10,4,13,3,3,6002,7040,0,1920,1,11,1,64,10,1,0.224102,1000,0,8,3,
1,3,8448,114.614,113.697,6144,5,2,7,4,0,0.221058,64,11088,1,93,500,Tesla C2050,64,12,4,13,3,3,6002,8448,0,2304,1,11,1,64,12,1,0.221125,1000,0,8,3,
1,3,4224,114.953,114.034,3072,5,2,7,4,0,0.220399,64,7056,1,62,1500,Tesla C2050,96,4,4,13,3,3,6002,4224,0,1152,1,11,1,96,4,1,0.220472,1000,0,8,3,
1,3,6336,112.724,111.822,4608,5,2,7,4,0,0.224753,64,9408,1,62,1000,Tesla C2050,96,6,4,13,3,3,6002,6336,0,1728,1,11,1,96,6,1,0.224832,1000,0,8,3,
1,3,8448,115.722,114.796,6144,5,2,7,4,0,0.218928,64,11760,1,62,750,Tesla C2050,96,8,4,13,3,3,6002,8448,0,2304,1,11,1,96,8,1,0.219008,1000,0,8,3,
1,3,10560,89.6403,88.9231,7680,5,2,7,4,0,0.282658,64,14112,1,62,600,Tesla C2050,96,10,4,13,3,3,6002,10560,0,2880,1,11,1,96,10,1,0.28273,1000,0,8,3,
1,3,5632,115.44,113.285,4096,5,2,7,4,0,0.219466,64,9360,1,46,1500,Tesla C2050,128,4,4,13,3,3,6002,5632,0,1536,1,11,1,128,4,1,0.219542,1000,0,8,3,
1,3,8448,115.842,113.68,6144,5,2,7,4,0,0.218704,64,12480,1,46,1000,Tesla C2050,128,6,4,13,3,3,6002,8448,0,2304,1,11,1,128,6,1,0.21878,1000,0,8,3,
1,3,11264,91.4349,89.7281,8192,5,2,7,4,0,0.277103,64,15600,1,46,750,Tesla C2050,128,8,4,13,3,3,6002,11264,0,3072,1,11,1,128,8,1,0.277181,1000,0,8,3,
1,3,2816,54.7583,116.818,1024,5,2,7,4,0,0.462764,64,2448,1,200,3000,Tesla C2050,30,2,4,13,3,3,6004,1320,384,384,2,11,1,32,4,0.46875,0.462834,1000,1024,12,3,
1,3,4224,73.3102,117.296,1536,5,2,7,4,0,0.345635,64,3264,1,200,1500,Tesla C2050,30,4,4,13,3,3,6004,2640,576,576,2,11,1,32,6,0.625,0.345709,1000,1536,12,3,
1,3,5632,82.1025,116.768,2048,5,2,7,4,0,0.308617,64,4080,1,200,1000,Tesla C2050,30,6,4,13,3,3,6004,3960,768,768,2,11,1,32,8,0.703125,0.308687,1000,2048,12,3,
1,3,7040,87.23,116.307,2560,5,2,7,4,0,0.290462,64,4896,1,200,750,Tesla C2050,30,8,4,13,3,3,6004,5280,960,960,2,11,1,32,10,0.75,0.290542,1000,2560,12,3,
1,3,8448,90.9861,116.462,3072,5,2,7,4,0,0.278478,64,5712,1,200,600,Tesla C2050,30,10,4,13,3,3,6004,6600,1152,1152,2,11,1,32,12,0.78125,0.278548,1000,3072,12,3,
1,3,5632,57.1172,116.976,2048,5,2,7,4,0,0.443653,64,4752,1,96,3000,Tesla C2050,62,2,4,13,3,3,6004,2728,768,768,2,11,1,64,4,0.484375,0.443719,1000,2048,12,3,
1,3,8448,75.7913,116.415,3072,5,2,7,4,0,0.334319,64,6336,1,96,1500,Tesla C2050,62,4,4,13,3,3,6004,5456,1152,1152,2,11,1,64,6,0.645833,0.334392,1000,3072,12,3,
1,3,11264,84.8437,115.84,4096,5,2,7,4,0,0.298637,64,7920,1,96,1000,Tesla C2050,62,6,4,13,3,3,6004,8184,1536,1536,2,11,1,64,8,0.726562,0.298714,1000,4096,12,3,
1,3,14080,87.8828,112.49,5120,5,2,7,4,0,0.288313,64,9504,1,96,750,Tesla C2050,62,8,4,13,3,3,6004,10912,1920,1920,2,11,1,64,10,0.775,0.288384,1000,5120,12,3,
1,3,16896,91.4678,112.396,6144,5,2,7,4,0,0.277003,64,11088,1,96,600,Tesla C2050,62,10,4,13,3,3,6004,13640,2304,2304,2,11,1,64,12,0.807292,0.277081,1000,6144,12,3,
1,3,8448,57.7908,116.506,3072,5,2,7,4,0,0.438477,64,7056,1,63,3000,Tesla C2050,94,2,4,13,3,3,6004,4136,1152,1152,2,11,1,96,4,0.489583,0.438547,1000,3072,12,3,
1,3,12672,73.9969,111.883,4608,5,2,7,4,0,0.342425,64,9408,1,63,1500,Tesla C2050,94,4,4,13,3,3,6004,8272,1728,1728,2,11,1,96,6,0.652778,0.342501,1000,4608,12,3,
1,3,16896,83.6323,112.402,6144,5,2,7,4,0,0.302965,64,11760,1,63,1000,Tesla C2050,94,6,4,13,3,3,6004,12408,2304,2304,2,11,1,96,8,0.734375,0.303041,1000,6144,12,3,
1,3,21120,72.006,90.7275,7680,5,2,7,4,0,0.351897,64,14112,1,63,750,Tesla C2050,94,8,4,13,3,3,6004,16544,2880,2880,2,11,1,96,10,0.783333,0.351971,1000,7680,12,3,
1,3,11264,57.7502,115.808,4096,5,2,7,4,0,0.438781,64,9360,1,47,3000,Tesla C2050,126,2,4,13,3,3,6004,5544,1536,1536,2,11,1,128,4,0.492188,0.438856,1000,4096,12,3,
1,3,16896,75.0233,112.835,6144,5,2,7,4,0,0.33774,64,12480,1,47,1500,Tesla C2050,126,4,4,13,3,3,6004,11088,2304,2304,2,11,1,128,6,0.65625,0.337815,1000,6144,12,3,
1,3,22528,68.58,91.6838,8192,5,2,7,4,0,0.369481,64,15600,1,47,1000,Tesla C2050,126,6,4,13,3,3,6004,16632,3072,3072,2,11,1,128,8,0.738281,0.369554,1000,8192,12,3,
1,3,6336,37.1074,127.056,1536,5,2,7,4,0,0.682929,64,3264,1,214,3000,Tesla C2050,28,2,4,13,3,3,6006,1848,1152,576,3,11,1,32,6,0.291667,0.682991,1000,3072,12,3,
1,3,8448,55.4537,126.582,2048,5,2,7,4,0,0.456954,64,4080,1,214,1500,Tesla C2050,28,4,4,13,3,3,6006,3696,1536,768,3,11,1,32,8,0.4375,0.45703,1000,4096,12,3,
1,3,10560,66.196,125.919,2560,5,2,7,4,0,0.382795,64,4896,1,214,1000,Tesla C2050,28,6,4,13,3,3,6006,5544,1920,960,3,11,1,32,10,0.525,0.382863,1000,5120,12,3,
1,3,12672,73.5677,125.948,3072,5,2,7,4,0,0.344426,64,5712,1,214,750,Tesla C2050,28,8,4,13,3,3,6006,7392,2304,1152,3,11,1,32,12,0.583333,0.344499,1000,6144,12,3,
1,3,12672,39.4044,126.094,3072,5,2,7,4,0,0.64311,64,6336,1,100,3000,Tesla C2050,60,2,4,13,3,3,6006,3960,2304,1152,3,11,1,64,6,0.3125,0.643177,1000,6144,12,3,
1,3,16896,58.5187,124.84,4096,5,2,7,4,0,0.433018,64,7920,1,100,1500,Tesla C2050,60,4,4,13,3,3,6006,7920,3072,1536,3,11,1,64,8,0.46875,0.433092,1000,8192,12,3,
1,3,21120,65.7946,116.968,5120,5,2,7,4,0,0.385131,64,9504,1,100,1000,Tesla C2050,60,6,4,13,3,3,6006,11880,3840,1920,3,11,1,64,10,0.5625,0.385199,1000,10240,12,3,
1,3,25344,73.6543,117.847,6144,5,2,7,4,0,0.344025,64,11088,1,100,750,Tesla C2050,60,8,4,13,3,3,6006,15840,4608,2304,3,11,1,64,12,0.625,0.344094,1000,12288,12,3,
1,3,19008,37.3474,116.524,4608,5,2,7,4,0,0.678535,64,9408,1,65,3000,Tesla C2050,92,2,4,13,3,3,6006,6072,3456,1728,3,11,1,96,6,0.319444,0.678602,1000,9216,12,3,
1,3,25344,56.7304,117.999,6144,5,2,7,4,0,0.446672,64,11760,1,65,1500,Tesla C2050,92,4,4,13,3,3,6006,12144,4608,2304,3,11,1,96,8,0.479167,0.446745,1000,12288,12,3,
1,3,31680,55.8178,96.7508,7680,5,2,7,4,0,0.453981,64,14112,1,65,1000,Tesla C2050,92,6,4,13,3,3,6006,18216,5760,2880,3,11,1,96,10,0.575,0.454049,1000,15360,12,3,
1,3,25344,38.6677,118.787,6144,5,2,7,4,0,0.655363,64,12480,1,48,3000,Tesla C2050,124,2,4,13,3,3,6006,8184,4608,2304,3,11,1,128,6,0.322917,0.65543,1000,12288,12,3,
1,3,33792,47.459,97.196,8192,5,2,7,4,0,0.533949,64,15600,1,48,1500,Tesla C2050,124,4,4,13,3,3,6006,16368,6144,3072,3,11,1,128,8,0.484375,0.534019,1000,16384,12,3,
