Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,1,2304,82.1392,81.9202,640,5,2,5,0,1,0.420689,64,816,1,187,1500,Tesla C2050,32,4,4,11,1,0,6002,2304,0,128,1,12,1,32,4,1,0.420749,1000,0,12,1,
1,1,3456,89.1422,88.9045,960,5,2,5,0,1,0.387641,64,1088,1,187,1000,Tesla C2050,32,6,4,11,1,0,6002,3456,0,192,1,12,1,32,6,1,0.387695,1000,0,12,1,
1,1,4608,88.8297,88.5928,1280,5,2,5,0,1,0.389007,64,1360,1,187,750,Tesla C2050,32,8,4,11,1,0,6002,4608,0,256,1,12,1,32,8,1,0.389059,1000,0,12,1,
1,1,5760,86.3113,86.0812,1600,5,2,5,0,1,0.40035,64,1632,1,187,600,Tesla C2050,32,10,4,11,1,0,6002,5760,0,320,1,12,1,32,10,1,0.400411,1000,0,12,1,
1,1,6912,91.8307,91.5858,1920,5,2,5,0,1,0.37629,64,1904,1,187,500,Tesla C2050,32,12,4,11,1,0,6002,6912,0,384,1,12,1,32,12,1,0.376345,1000,0,12,1,
1,1,4608,86.5263,85.8341,1280,5,2,5,0,1,0.399365,64,1584,1,93,1500,Tesla C2050,64,4,4,11,1,0,6002,4608,0,256,1,12,1,64,4,1,0.399416,1000,0,12,1,
1,1,6912,85.7847,85.0984,1920,5,2,5,0,1,0.402812,64,2112,1,93,1000,Tesla C2050,64,6,4,11,1,0,6002,6912,0,384,1,12,1,64,6,1,0.402869,1000,0,12,1,
1,1,9216,78.9831,78.3512,2560,5,2,5,0,1,0.437501,64,2640,1,93,750,Tesla C2050,64,8,4,11,1,0,6002,9216,0,512,1,12,1,64,8,1,0.437562,1000,0,12,1,
1,1,11520,81.7541,81.1001,3200,5,2,5,0,1,0.422671,64,3168,1,93,600,Tesla C2050,64,10,4,11,1,0,6002,11520,0,640,1,12,1,64,10,1,0.422731,1000,0,12,1,
1,1,13824,86.5233,85.8311,3840,5,2,5,0,1,0.399377,64,3696,1,93,500,Tesla C2050,64,12,4,11,1,0,6002,13824,0,768,1,12,1,64,12,1,0.39943,1000,0,12,1,
