Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,1,2304,102.356,102.083,640,5,2,5,0,1,0.337582,64,816,1,187,1500,Tesla C2050,32,4,4,11,1,2,6002,2304,0,128,1,12,1,32,4,1,0.337644,1000,0,12,1,
1,1,3456,110.763,110.468,960,5,2,5,0,1,0.311951,64,1088,1,187,1000,Tesla C2050,32,6,4,11,1,2,6002,3456,0,192,1,12,1,32,6,1,0.312017,1000,0,12,1,
1,1,4608,109.667,109.375,1280,5,2,5,0,1,0.315072,64,1360,1,187,750,Tesla C2050,32,8,4,11,1,2,6002,4608,0,256,1,12,1,32,8,1,0.315136,1000,0,12,1,
1,1,5760,108.288,107.999,1600,5,2,5,0,1,0.319085,64,1632,1,187,600,Tesla C2050,32,10,4,11,1,2,6002,5760,0,320,1,12,1,32,10,1,0.31915,1000,0,12,1,
1,1,6912,112.248,111.948,1920,5,2,5,0,1,0.307828,64,1904,1,187,500,Tesla C2050,32,12,4,11,1,2,6002,6912,0,384,1,12,1,32,12,1,0.307891,1000,0,12,1,
1,1,4608,104.591,103.754,1280,5,2,5,0,1,0.330364,64,1584,1,93,1500,Tesla C2050,64,4,4,11,1,2,6002,4608,0,256,1,12,1,64,4,1,0.330431,1000,0,12,1,
1,1,6912,101.783,100.968,1920,5,2,5,0,1,0.339484,64,2112,1,93,1000,Tesla C2050,64,6,4,11,1,2,6002,6912,0,384,1,12,1,64,6,1,0.339547,1000,0,12,1,
1,1,9216,96.7894,96.0151,2560,5,2,5,0,1,0.356997,64,2640,1,93,750,Tesla C2050,64,8,4,11,1,2,6002,9216,0,512,1,12,1,64,8,1,0.357064,1000,0,12,1,
1,1,11520,100.556,99.7513,3200,5,2,5,0,1,0.343623,64,3168,1,93,600,Tesla C2050,64,10,4,11,1,2,6002,11520,0,640,1,12,1,64,10,1,0.34369,1000,0,12,1,
1,1,13824,105.844,104.997,3840,5,2,5,0,1,0.326456,64,3696,1,93,500,Tesla C2050,64,12,4,11,1,2,6002,13824,0,768,1,12,1,64,12,1,0.326519,1000,0,12,1,
