Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
14336,2594920.062500,1,1,0,33.7578,419196.984375,1,224,7,3,64,49152,14336,0.303275,1024,1,640,100,25,100,204290.000000,4,15,1,33.7578,202,8,77,0,32,1,2817720320,7,0,20,2,8,2,1,0.303337,1000,0,2596418.062500,200,200,1,14,
28672,2295972.734375,1,1,0,52.1624,453916.750000,1,448,7,3,64,49152,28672,0.196243,1024,1,960,50,25,100,163788.593750,4,15,1,52.1624,202,8,52,0,64,1,2817720320,7,0,20,4,8,2,1,0.19631,1000,0,2296544.468750,200,200,1,14,
43008,1916007.687500,1,1,0,62.6514,395560.703125,1,672,7,3,64,49152,43008,0.144532,1024,1,1280,32,24,96,153117.093750,4,15,1,62.6514,194,8,39,0,96,1,2817720320,7,0,20,6,8,2,1,0.144605,1000,0,1915773.562500,192,200,1,14,
57344,2114146.375000,1,1,0,66.5488,432021.312500,1,896,7,3,64,49152,57344,0.153805,1024,1,1600,25,25,100,182130.328125,4,15,1,66.5488,202,8,31,0,128,1,2817720320,7,0,20,8,8,2,1,0.153872,1000,0,2114994.359375,200,200,1,14,
28672,2600194.875000,1,1,0,51.1053,444259.593750,1,448,7,3,64,49152,28672,0.200301,1024,1,960,100,25,50,178948.703125,4,15,1,51.1053,202,8,52,0,64,1,2817720320,7,0,20,2,8,4,1,0.200371,1000,0,2601299.046875,200,200,1,14,
57344,2288813.906250,1,1,0,66.4357,443767.359375,1,896,7,3,64,49152,57344,0.154065,1024,1,1440,50,25,50,170220.437500,4,15,1,66.4357,202,8,35,0,128,1,2817720320,7,0,20,4,8,4,1,0.154134,1000,0,2289240.984375,200,200,1,14,
86016,1936688.906250,1,1,0,69.4209,383792.265625,1,1344,7,3,64,49152,86016,0.130434,1024,1,1920,32,24,48,162516.187500,4,15,1,69.4209,194,8,26,0,192,1,2817720320,7,0,20,6,8,4,1,0.130504,1000,0,1936994.453125,192,200,1,14,
114688,2142502.406250,1,1,0,68.0127,437345.734375,1,1792,7,3,64,49152,114688,0.150491,1024,1,2400,25,25,50,179077.937500,4,15,1,68.0127,202,8,21,0,256,1,2817720320,7,0,20,8,8,4,1,0.15056,1000,0,2141733.875000,200,200,1,14,
43008,2165840.625000,1,1,0,60.8879,378809.656250,1,672,7,3,64,49152,43008,0.148694,1024,1,1280,96,24,32,165992.421875,4,15,1,60.8879,194,8,39,0,96,1,2817720320,7,0,20,2,8,6,1,0.148793,1000,0,2166953.781250,192,200,1,14,
86016,2043717.765625,1,1,0,68.0484,378680.390625,1,1344,7,3,64,49152,86016,0.133065,1024,1,1920,48,24,32,165907.984375,4,15,1,68.0484,194,8,26,0,192,1,2817720320,7,0,20,4,8,6,1,0.133136,1000,0,2043877.593750,192,200,1,14,
129024,1948751.593750,1,1,0,68.2956,398293.984375,1,2016,7,3,64,49152,129024,0.132588,1024,1,2560,32,24,32,150557.203125,4,15,1,68.2956,194,8,20,0,288,1,2817720320,7,0,20,6,8,6,1,0.132654,1000,0,1948395.515625,192,200,1,14,
172032,1923470.546875,1,1,0,65.5735,412908.656250,1,2688,7,3,64,49152,172032,0.13809,1024,1,3200,24,24,32,139503.640625,4,15,1,65.5735,194,8,16,0,384,1,2817720320,7,0,20,8,8,6,1,0.138161,1000,0,1928494.984375,192,200,1,14,
57344,2584538.843750,1,1,0,62.4364,411902.500000,1,896,7,3,64,49152,57344,0.16394,1024,1,1600,100,25,25,204996.656250,4,15,1,62.4364,202,8,31,0,128,1,2817720320,7,0,20,2,8,8,1,0.164007,1000,0,2585325.765625,200,200,1,14,
114688,2326289.156250,1,1,0,66.0121,429135.656250,1,1792,7,3,64,49152,114688,0.155053,1024,1,2400,50,25,25,195039.093750,4,15,1,66.0121,202,8,21,0,256,1,2817720320,7,0,20,4,8,8,1,0.155123,1000,0,2324859.078125,200,200,1,14,
172032,1972453.156250,1,1,0,66.5351,398398.359375,1,2688,7,3,64,49152,172032,0.136094,1024,1,3200,32,24,24,157037.781250,4,15,1,66.5351,194,8,16,0,384,1,2817720320,7,0,20,6,8,8,1,0.136164,1000,0,1968256.796875,192,200,1,14,
229376,2195339.015625,1,1,0,65.7093,449536.468750,1,3584,7,3,64,49152,229376,0.155767,1024,1,4000,25,25,25,167029.031250,4,15,1,65.7093,202,8,13,0,512,1,2817720320,7,0,20,8,8,8,1,0.155838,1000,0,2194007.781250,200,200,1,14,
28672,2045367.593750,1,1,0,60.3577,211180.000000,1,448,7,3,64,49152,28672,0.150028,1024,1,1152,96,12,96,117753.390625,4,15,1,60.3577,194,8,43,0,64,1,2817720320,7,0,20,2,16,2,1,0.1501,1000,0,2045167.296875,192,200,1,14,
57344,1888006.453125,1,1,0,80.56,226994.578125,1,896,7,3,64,49152,57344,0.112383,1024,1,1728,48,12,96,101030.156250,4,15,1,80.56,194,8,29,0,128,1,2817720320,7,0,20,4,16,2,1,0.112459,1000,0,1887759.343750,192,200,1,14,
86016,1804225.937500,1,1,0,88.6953,227579.765625,1,1344,7,3,64,49152,86016,0.102072,1024,1,2304,32,12,96,100958.906250,4,15,1,88.6953,194,8,22,0,192,1,2817720320,7,0,20,6,16,2,1,0.102144,1000,0,1804734.781250,192,200,1,14,
114688,1756140.265625,1,1,0,76.794,224973.140625,1,1792,7,3,64,49152,114688,0.117902,1024,1,2880,24,12,96,101651.765625,4,15,1,76.794,194,8,18,0,256,1,2817720320,7,0,20,8,16,2,1,0.117974,1000,0,1755120.031250,192,200,1,14,
57344,2020122.203125,1,1,0,79.7144,221983.953125,1,896,7,3,64,49152,57344,0.113581,1024,1,1728,96,12,48,106569.984375,4,15,1,79.7144,194,8,29,0,128,1,2817720320,7,0,20,2,16,4,1,0.113652,1000,0,2020723.921875,192,200,1,14,
114688,1916301.656250,1,1,0,77.1413,234316.375000,1,1792,7,3,64,49152,114688,0.11737,1024,1,2592,48,12,48,89608.156250,4,15,1,77.1413,194,8,19,0,256,1,2817720320,7,0,20,4,16,4,1,0.117443,1000,0,1915619.421875,192,200,1,14,
172032,1808446.687500,1,1,0,82.1793,243365.750000,1,2688,7,3,64,49152,172032,0.110171,1024,1,3456,32,12,48,88305.171875,4,15,1,82.1793,194,8,15,0,384,1,2817720320,7,0,20,6,16,4,1,0.110243,1000,0,1809640.515625,192,200,1,14,
