Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
14336,1,1,3,130.645,1,224,7,3,64,49152,14336,1,0.0783177,1024,1,640,100,25,100,Tesla C2050,4,12,1,130.645,202,8,77,0,32,1,2817720320,7,0,20,2,8,2,1,0.0783801,1000,0,200,16,200,1,14,
28672,1,1,3,238.395,1,448,7,3,64,49152,28672,1,0.0428852,1024,1,960,50,25,100,Tesla C2050,4,12,1,238.395,202,8,52,0,64,1,2817720320,7,0,20,4,8,2,1,0.042954,1000,0,200,16,200,1,14,
43008,1,1,3,258.141,1,672,7,3,64,49152,43008,1,0.0350316,1024,1,1280,32,24,96,Tesla C2050,4,12,1,258.141,194,8,39,0,96,1,2817720320,7,0,20,6,8,2,1,0.0350959,1000,0,192,16,200,1,14,
57344,1,1,3,259.628,1,896,7,3,64,49152,57344,1,0.0393712,1024,1,1600,25,25,100,Tesla C2050,4,12,1,259.628,202,8,31,0,128,1,2817720320,7,0,20,8,8,2,1,0.0394411,1000,0,200,16,200,1,14,
28672,1,1,3,238.395,1,448,7,3,64,49152,28672,1,0.0428836,1024,1,960,100,25,50,Tesla C2050,4,12,1,238.395,202,8,52,0,64,1,2817720320,7,0,20,2,8,4,1,0.042954,1000,0,200,16,200,1,14,
57344,1,1,3,259.602,1,896,7,3,64,49152,57344,1,0.0393701,1024,1,1440,50,25,50,Tesla C2050,4,12,1,259.602,202,8,35,0,128,1,2817720320,7,0,20,4,8,4,1,0.0394449,1000,0,200,16,200,1,14,
86016,1,1,3,258.88,1,1344,7,3,64,49152,86016,1,0.0349271,1024,1,1920,32,24,48,Tesla C2050,4,12,1,258.88,194,8,26,0,192,1,2817720320,7,0,20,6,8,4,1,0.0349958,1000,0,192,16,200,1,14,
114688,1,1,3,258.736,1,1792,7,3,64,49152,114688,1,0.0395045,1024,1,2400,25,25,50,Tesla C2050,4,12,1,258.736,202,8,21,0,256,1,2817720320,7,0,20,8,8,4,1,0.039577,1000,0,200,16,200,1,14,
43008,1,1,3,258.031,1,672,7,3,64,49152,43008,1,0.03504,1024,1,1280,96,24,32,Tesla C2050,4,12,1,258.031,194,8,39,0,96,1,2817720320,7,0,20,2,8,6,1,0.035111,1000,0,192,16,200,1,14,
86016,1,1,3,258.672,1,1344,7,3,64,49152,86016,1,0.0349556,1024,1,1920,48,24,32,Tesla C2050,4,12,1,258.672,194,8,26,0,192,1,2817720320,7,0,20,4,8,6,1,0.0350239,1000,0,192,16,200,1,14,
129024,1,1,3,259.346,1,2016,7,3,64,49152,129024,1,0.0348628,1024,1,2560,32,24,32,Tesla C2050,4,12,1,259.346,194,8,20,0,288,1,2817720320,7,0,20,6,8,6,1,0.0349329,1000,0,192,16,200,1,14,
172032,1,1,3,259.107,1,2688,7,3,64,49152,172032,1,0.0348972,1024,1,3200,24,24,32,Tesla C2050,4,12,1,259.107,194,8,16,0,384,1,2817720320,7,0,20,8,8,6,1,0.034965,1000,0,192,16,200,1,14,
57344,1,1,3,259.635,1,896,7,3,64,49152,57344,1,0.0393709,1024,1,1600,100,25,25,Tesla C2050,4,12,1,259.635,202,8,31,0,128,1,2817720320,7,0,20,2,8,8,1,0.0394399,1000,0,200,16,200,1,14,
114688,1,1,3,258.802,1,1792,7,3,64,49152,114688,1,0.0394981,1024,1,2400,50,25,25,Tesla C2050,4,12,1,258.802,202,8,21,0,256,1,2817720320,7,0,20,4,8,8,1,0.039567,1000,0,200,16,200,1,14,
172032,1,1,3,259.433,1,2688,7,3,64,49152,172032,1,0.0348523,1024,1,3200,32,24,24,Tesla C2050,4,12,1,259.433,194,8,16,0,384,1,2817720320,7,0,20,6,8,8,1,0.0349212,1000,0,192,16,200,1,14,
229376,1,1,3,261.826,1,3584,7,3,64,49152,229376,1,0.0390364,1024,1,4000,25,25,25,Tesla C2050,4,12,1,261.826,202,8,13,0,512,1,2817720320,7,0,20,8,8,8,1,0.0391099,1000,0,200,16,200,1,14,
28672,1,1,3,238.075,1,448,7,3,64,49152,28672,1,0.0379882,1024,1,1152,96,12,96,Tesla C2050,4,12,1,238.075,194,8,43,0,64,1,2817720320,7,0,20,2,16,2,1,0.038054,1000,0,192,16,200,1,14,
57344,1,1,3,259.196,1,896,7,3,64,49152,57344,1,0.0348831,1024,1,1728,48,12,96,Tesla C2050,4,12,1,259.196,194,8,29,0,128,1,2817720320,7,0,20,4,16,2,1,0.0349531,1000,0,192,16,200,1,14,
86016,1,1,3,258.908,1,1344,7,3,64,49152,86016,1,0.0349236,1024,1,2304,32,12,96,Tesla C2050,4,12,1,258.908,194,8,22,0,192,1,2817720320,7,0,20,6,16,2,1,0.034992,1000,0,192,16,200,1,14,
114688,1,1,3,258.362,1,1792,7,3,64,49152,114688,1,0.0350013,1024,1,2880,24,12,96,Tesla C2050,4,12,1,258.362,194,8,18,0,256,1,2817720320,7,0,20,8,16,2,1,0.0350659,1000,0,192,16,200,1,14,
57344,1,1,3,259.219,1,896,7,3,64,49152,57344,1,0.0348814,1024,1,1728,96,12,48,Tesla C2050,4,12,1,259.219,194,8,29,0,128,1,2817720320,7,0,20,2,16,4,1,0.03495,1000,0,192,16,200,1,14,
114688,1,1,3,258.353,1,1792,7,3,64,49152,114688,1,0.0349933,1024,1,2592,48,12,48,Tesla C2050,4,12,1,258.353,194,8,19,0,256,1,2817720320,7,0,20,4,16,4,1,0.0350671,1000,0,192,16,200,1,14,
172032,1,1,3,259.316,1,2688,7,3,64,49152,172032,1,0.0348685,1024,1,3456,32,12,48,Tesla C2050,4,12,1,259.316,194,8,15,0,384,1,2817720320,7,0,20,6,16,4,1,0.0349369,1000,0,192,16,200,1,14,
229376,1,1,3,261.448,1,3584,7,3,64,49152,229376,1,0.034582,1024,1,4320,24,12,48,Tesla C2050,4,12,1,261.448,194,8,12,0,512,1,2817720320,7,0,20,8,16,4,1,0.034652,1000,0,192,16,200,1,14,
86016,1,1,3,258.665,1,1344,7,3,64,49152,86016,1,0.034952,1024,1,2304,96,12,32,Tesla C2050,4,12,1,258.665,194,8,22,0,192,1,2817720320,7,0,20,2,16,6,1,0.0350249,1000,0,192,16,200,1,14,
172032,1,1,3,258.996,1,2688,7,3,64,49152,172032,1,0.0349101,1024,1,3456,48,12,32,Tesla C2050,4,12,1,258.996,194,8,15,0,384,1,2817720320,7,0,20,4,16,6,1,0.0349801,1000,0,192,16,200,1,14,
258048,1,1,3,265.953,1,4032,7,3,64,49152,258048,1,0.0339944,1024,1,4608,32,12,32,Tesla C2050,4,12,1,265.953,194,8,11,0,576,1,2817720320,7,0,20,6,16,6,1,0.034065,1000,0,192,16,200,1,14,
344064,1,1,3,264.471,1,5376,7,3,64,49152,344064,1,0.0341875,1024,1,5760,24,12,32,Tesla C2050,4,12,1,264.471,194,8,9,0,768,1,2817720320,7,0,20,8,16,6,1,0.034256,1000,0,192,16,200,1,14,
114688,1,1,3,258.369,1,1792,7,3,64,49152,114688,1,0.034997,1024,1,2880,96,12,24,Tesla C2050,4,12,1,258.369,194,8,18,0,256,1,2817720320,7,0,20,2,16,8,1,0.0350649,1000,0,192,16,200,1,14,
229376,1,1,3,261.47,1,3584,7,3,64,49152,229376,1,0.0345794,1024,1,4320,48,12,24,Tesla C2050,4,12,1,261.47,194,8,12,0,512,1,2817720320,7,0,20,4,16,8,1,0.0346491,1000,0,192,16,200,1,14,
344064,1,1,3,266.556,1,5376,7,3,64,49152,344064,1,0.0339173,1024,1,5760,32,12,24,Tesla C2050,4,12,1,266.556,194,8,9,0,768,1,2817720320,7,0,20,6,16,8,1,0.033988,1000,0,192,16,200,1,14,
458752,1,1,3,198.921,1,7168,7,3,64,49152,458752,1,0.0454755,1024,1,7200,24,12,24,Tesla C2050,4,12,1,198.921,194,8,7,0,1024,1,2817720320,7,0,20,8,16,8,1,0.0455441,1000,0,192,16,200,1,14,
43008,1,1,3,258.125,1,672,7,3,64,49152,43008,1,0.0350327,1024,1,1664,96,8,96,Tesla C2050,4,12,1,258.125,194,8,30,0,96,1,2817720320,7,0,20,2,24,2,1,0.0350981,1000,0,192,16,200,1,14,
86016,1,1,3,258.966,1,1344,7,3,64,49152,86016,1,0.0349135,1024,1,2496,48,8,96,Tesla C2050,4,12,1,258.966,194,8,20,0,192,1,2817720320,7,0,20,4,24,2,1,0.0349841,1000,0,192,16,200,1,14,
129024,1,1,3,259.463,1,2016,7,3,64,49152,129024,1,0.0348492,1024,1,3328,32,8,96,Tesla C2050,4,12,1,259.463,194,8,15,0,288,1,2817720320,7,0,20,6,24,2,1,0.0349171,1000,0,192,16,200,1,14,
172032,1,1,3,259.628,1,2688,7,3,64,49152,172032,1,0.034837,1024,1,4160,24,8,96,Tesla C2050,4,12,1,259.628,194,8,12,0,384,1,2817720320,7,0,20,8,24,2,1,0.0348949,1000,0,192,16,200,1,14,
86016,1,1,3,258.975,1,1344,7,3,64,49152,86016,1,0.0349158,1024,1,2496,96,8,48,Tesla C2050,4,12,1,258.975,194,8,20,0,192,1,2817720320,7,0,20,2,24,4,1,0.0349829,1000,0,192,16,200,1,14,
172032,1,1,3,259.614,1,2688,7,3,64,49152,172032,1,0.0348257,1024,1,3744,48,8,48,Tesla C2050,4,12,1,259.614,194,8,14,0,384,1,2817720320,7,0,20,4,24,4,1,0.0348969,1000,0,192,16,200,1,14,
