fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,shared_stores,
7037601.656250,1,1,640,28.9225,28.8454,573806.265625,640,5,2,5,0,0.39824,64,816,1,187,1500,32,4,218762.593750,4,11,1,0,6002,640,0,128,1,7038192.093750,5,1,32,4,1,0.398306,1000,0,6000,1,
7234333.984375,1,1,960,31.4513,31.3674,592816.109375,960,5,2,5,0,0.366219,64,1088,1,187,1000,32,6,200547.562500,4,11,1,0,6002,960,0,192,1,7233904.062500,5,1,32,6,1,0.366281,1000,0,6000,1,
7289861.390625,1,1,1280,31.3142,31.2307,600604.234375,1280,5,2,5,0,0.367822,64,1360,1,187,750,32,8,194760.453125,4,11,1,0,6002,1280,0,256,1,7289924.859375,5,1,32,8,1,0.367884,1000,0,6000,1,
7311063.968750,1,1,1600,29.7518,29.6725,604621.359375,1600,5,2,5,0,0.387142,64,1632,1,187,600,32,10,186467.718750,4,11,1,0,6002,1600,0,320,1,7310962.078125,5,1,32,10,1,0.387203,1000,0,6000,1,
7325223.953125,1,1,1920,30.8368,30.7545,603648.375000,1920,5,2,5,0,0.373521,64,1904,1,187,500,32,12,184407.734375,4,11,1,0,6002,1920,0,384,1,7321720.125000,5,1,32,12,1,0.37358,1000,0,6000,1,
6934261.343750,1,1,1280,30.5676,30.323,622211.078125,1280,5,2,5,0,0.376802,64,1584,1,93,1500,64,4,169451.593750,4,11,1,0,6002,1280,0,256,1,6933330.375000,5,1,64,4,1,0.37687,1000,0,6000,1,
7116044.453125,1,1,1920,29.8198,29.5813,631401.781250,1920,5,2,5,0,0.386259,64,2112,1,93,1000,64,6,157488.312500,4,11,1,0,6002,1920,0,384,1,7116474.343750,5,1,64,6,1,0.38632,1000,0,6000,1,
7225664.296875,1,1,2560,27.6187,27.3978,639843.156250,2560,5,2,5,0,0.417048,64,2640,1,93,750,64,8,149673.640625,4,11,1,0,6002,2560,0,512,1,7225954.796875,5,1,64,8,1,0.417108,1000,0,6000,1,
7227384.546875,1,1,3200,28.4324,28.205,647853.843750,3200,5,2,5,0,0.405108,64,3168,1,93,600,64,10,143823.156250,4,11,1,0,6002,3200,0,640,1,7227830.015625,5,1,64,10,1,0.405171,1000,0,6000,1,
7210792.375000,1,1,3840,30.0875,29.8468,656503.171875,3840,5,2,5,0,0.382823,64,3696,1,93,500,64,12,141124.109375,4,11,1,0,6002,3840,0,768,1,7210745.093750,5,1,64,12,1,0.382883,1000,0,6000,1,
6890411.281250,1,1,1920,29.4019,29.1667,631250.078125,1920,5,2,5,0,0.39175,64,2352,1,62,1500,96,4,157860.437500,4,11,1,0,6002,1920,0,384,1,6891047.781250,5,1,96,4,1,0.391811,1000,0,6000,1,
7118130.375000,1,1,2880,27.5534,27.333,649573.046875,2880,5,2,5,0,0.418041,64,3136,1,62,1000,96,6,141266.765625,4,11,1,0,6002,2880,0,576,1,7117912.656250,5,1,96,6,1,0.418097,1000,0,6000,1,
7106903.406250,1,1,3840,30.4067,30.1635,653955.890625,3840,5,2,5,0,0.378803,64,3920,1,62,750,96,8,134412.406250,4,11,1,0,6002,3840,0,768,1,7109010.671875,5,1,96,8,1,0.378864,1000,0,6000,1,
7239562.296875,1,1,4800,23.1074,22.9226,654700.468750,4800,5,2,5,0,0.498483,64,4704,1,62,600,96,10,132736.046875,4,11,1,0,6002,4800,0,960,1,7241721.250000,5,1,96,10,1,0.498541,1000,0,6000,1,
6827987.265625,1,1,2560,28.9075,28.3679,633833.718750,2560,5,2,5,0,0.398446,64,3120,1,46,1500,128,4,147204.156250,4,11,1,0,6002,2560,0,512,1,6828593.500000,5,1,128,4,1,0.398512,1000,0,6000,1,
6965776.093750,1,1,3840,31.2517,30.6683,650490.906250,3840,5,2,5,0,0.36852,64,4160,1,46,1000,128,6,133168.781250,4,11,1,0,6002,3840,0,768,1,6967076.140625,5,1,128,6,1,0.36862,1000,0,6000,1,
7152176.468750,1,1,5120,24.0175,23.5692,652272.546875,5120,5,2,5,0,0.479586,64,5200,1,46,750,128,8,127717.531250,4,11,1,0,6002,5120,0,1024,1,7154647.546875,5,1,128,8,1,0.47965,1000,0,6000,1,
7084138.468750,1,1,1280,23.2703,49.6433,1275663.968750,640,5,2,5,0,0.494986,64,816,1,200,3000,30,2,421225.750000,4,14,1,0,6004,600,128,128,2,7085138.656250,5,1,32,4,0.46875,0.495052,1000,640,6000,1,
7179208.125000,1,1,1920,32.5874,52.1398,974945.781250,960,5,2,5,0,0.353447,64,1088,1,200,1500,30,4,327944.656250,4,14,1,0,6004,1200,192,192,2,7169071.000000,5,1,32,6,0.625,0.353511,1000,960,6000,1,
7407649.125000,1,1,2560,36.1259,51.379,848368.031250,1280,5,2,5,0,0.318821,64,1360,1,200,1000,30,6,282148.312500,4,14,1,0,6004,1800,256,256,2,7407807.562500,5,1,32,8,0.703125,0.318885,1000,1280,6000,1,
7446281.312500,1,1,3200,37.9231,50.5641,803646.250000,1600,5,2,5,0,0.303712,64,1632,1,200,750,30,8,255818.937500,4,14,1,0,6004,2400,320,320,2,7446231.937500,5,1,32,10,0.75,0.303773,1000,1600,6000,1,
7452363.593750,1,1,3840,38.0397,48.6908,780388.781250,1920,5,2,5,0,0.302785,64,1904,1,200,600,30,10,236937.156250,4,14,1,0,6004,3000,384,384,2,7452352.468750,5,1,32,12,0.78125,0.302842,1000,1920,6000,1,
7136413.812500,1,1,2560,23.6912,48.5196,1258956.093750,1280,5,2,5,0,0.486191,64,1584,1,96,3000,62,2,353083.843750,4,14,1,0,6004,1240,256,256,2,7138732.500000,5,1,64,4,0.484375,0.486256,1000,1280,6000,1,
7235517.281250,1,1,3840,28.7767,44.201,975445.468750,1920,5,2,5,0,0.400258,64,2112,1,96,1500,62,4,245409.562500,4,14,1,0,6004,2480,384,384,2,7237874.500000,5,1,64,6,0.645833,0.400324,1000,1920,6000,1,
7476908.875000,1,1,5120,32.8944,44.9118,878818.906250,2560,5,2,5,0,0.350148,64,2640,1,96,1000,62,6,205499.218750,4,14,1,0,6004,3720,512,512,2,7478768.625000,5,1,64,8,0.726562,0.350212,1000,2560,6000,1,
7513395.031250,1,1,6400,33.5696,42.969,831252.031250,3200,5,2,5,0,0.343107,64,3168,1,96,750,62,8,185905.125000,4,14,1,0,6004,4960,640,640,2,7515434.531250,5,1,64,10,0.775,0.343168,1000,3200,6000,1,
7488760.000000,1,1,7680,35.9867,44.2205,800923.968750,3840,5,2,5,0,0.320056,64,3696,1,96,600,62,10,175289.812500,4,14,1,0,6004,6200,768,768,2,7490356.218750,5,1,64,12,0.807292,0.320118,1000,3840,6000,1,
7099647.281250,1,1,3840,22.7558,45.8756,1281878.500000,1920,5,2,5,0,0.506178,64,2352,1,63,3000,94,2,318476.093750,4,14,1,0,6004,1880,384,384,2,7102423.031250,5,1,96,4,0.489583,0.506245,1000,1920,6000,1,
7211344.437500,1,1,5760,28.6595,43.3332,985951.343750,2880,5,2,5,0,0.401906,64,3136,1,63,1500,94,4,215144.625000,4,14,1,0,6004,3760,576,576,2,7215092.062500,5,1,96,6,0.652778,0.401961,1000,2880,6000,1,
7459301.656250,1,1,7680,33.2266,44.6566,886296.843750,3840,5,2,5,0,0.346649,64,3920,1,63,1000,94,6,181051.093750,4,14,1,0,6004,5640,768,768,2,7461435.312500,5,1,96,8,0.734375,0.34671,1000,3840,6000,1,
7366965.406250,1,1,9600,27.731,34.9411,829828.375000,4800,5,2,5,0,0.415358,64,4704,1,63,750,94,8,170460.937500,4,14,1,0,6004,7520,960,960,2,7369545.250000,5,1,96,10,0.783333,0.415419,1000,4800,6000,1,
7125405.562500,1,1,5120,24.3799,48.8898,1297077.187500,2560,5,2,5,0,0.472461,64,3120,1,47,3000,126,2,295663.281250,4,14,1,0,6004,2520,512,512,2,7126368.031250,5,1,128,4,0.492188,0.472521,1000,2560,6000,1,
7243095.468750,1,1,7680,30.9101,46.4888,994000.812500,3840,5,2,5,0,0.372635,64,4160,1,47,1500,126,4,200894.375000,4,14,1,0,6004,5040,768,768,2,7243921.312500,5,1,128,6,0.65625,0.372694,1000,3840,6000,1,
7310975.937500,1,1,10240,26.9744,36.0618,885598.781250,5120,5,2,5,0,0.427005,64,5200,1,47,1000,126,6,175371.000000,4,14,1,0,6004,7560,1024,1024,2,7312337.468750,5,1,128,8,0.738281,0.427071,1000,5120,6000,1,
7642984.090909,1,1,2880,18.1474,62.1367,2081172.772727,960,5,2,5,0,0.634742,64,1088,1,214,3000,28,2,662087.818182,4,14,1,0,6006,840,384,192,3,7649027.727273,5,1,32,6,0.291667,0.634802,1000,1920,6000,1,
7945922.727273,1,1,3840,26.2851,60.0001,1383301.227273,1280,5,2,5,0,0.438211,64,1360,1,214,1500,28,4,433681.090909,4,14,1,0,6006,1680,512,256,3,7949235.181818,5,1,32,8,0.4375,0.438271,1000,2560,6000,1,
8237503.363636,1,1,4800,29.8147,56.7141,1148946.363636,1600,5,2,5,0,0.386326,64,1632,1,214,1000,28,6,363007.181818,4,14,1,0,6006,2520,640,320,3,8240318.500000,5,1,32,10,0.525,0.386387,1000,3200,6000,1,
8245934.227273,1,1,5760,32.6974,55.9779,1038248.909091,1920,5,2,5,0,0.352254,64,1904,1,214,750,28,8,321330.727273,4,14,1,0,6006,3360,768,384,3,8247724.636364,5,1,32,12,0.583333,0.352322,1000,3840,6000,1,
7445305.045455,1,1,5760,18.4083,58.9067,2040713.590909,1920,5,2,5,0,0.625742,64,2112,1,100,3000,60,2,500719.636364,4,14,1,0,6006,1800,768,384,3,7449692.227273,5,1,64,6,0.3125,0.625803,1000,3840,6000,1,
7750416.090909,1,1,7680,26.8561,57.293,1375858.181818,2560,5,2,5,0,0.428894,64,2640,1,100,1500,60,4,318937.727273,4,14,1,0,6006,3600,1024,512,3,7753498.681818,5,1,64,8,0.46875,0.428953,1000,5120,6000,1,
8054016.772727,1,1,9600,28.8802,51.3426,1153617.045455,3200,5,2,5,0,0.398828,64,3168,1,100,1000,60,6,257558.045455,4,14,1,0,6006,5400,1280,640,3,8056086.590909,5,1,64,10,0.5625,0.398889,1000,6400,6000,1,
8095109.818182,1,1,11520,32.8711,52.5937,1043799.136364,3840,5,2,5,0,0.350398,64,3696,1,100,750,60,8,226887.863636,4,14,1,0,6006,7200,1536,768,3,8097160.590909,5,1,64,12,0.625,0.35046,1000,7680,6000,1,
7371537.409091,1,1,8640,17.0971,53.3428,2042994.136364,2880,5,2,5,0,0.673741,64,3136,1,65,3000,92,2,435734.454545,4,14,1,0,6006,2760,1152,576,3,7375848.454545,5,1,96,6,0.319444,0.6738,1000,5760,6000,1,
7684740.454545,1,1,11520,25.9401,53.9553,1374154.863636,3840,5,2,5,0,0.444041,64,3920,1,65,1500,92,4,277752.454545,4,14,1,0,6006,5520,1536,768,3,7688106.818182,5,1,96,8,0.479167,0.444101,1000,7680,6000,1,
