Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,shared_stores,
1,1,640,98.9555,98.6916,640,5,2,5,0,0,0.116349,64,816,1,187,1500,Tesla C2050,32,4,4,9,1,3,6002,640,0,128,1,5,1,32,4,1,0.116416,1000,0,6000,5,1,
1,1,960,99.5061,99.2408,960,5,2,5,0,0,0.115701,64,1088,1,187,1000,Tesla C2050,32,6,4,9,1,3,6002,960,0,192,1,5,1,32,6,1,0.115772,1000,0,6000,5,1,
1,1,1280,98.9699,98.706,1280,5,2,5,0,0,0.116328,64,1360,1,187,750,Tesla C2050,32,8,4,9,1,3,6002,1280,0,256,1,5,1,32,8,1,0.116399,1000,0,6000,5,1,
1,1,1600,96.322,96.0651,1600,5,2,5,0,0,0.119534,64,1632,1,187,600,Tesla C2050,32,10,4,9,1,3,6002,1600,0,320,1,5,1,32,10,1,0.119599,1000,0,6000,5,1,
1,1,1920,99.2727,99.0079,1920,5,2,5,0,0,0.115974,64,1904,1,187,500,Tesla C2050,32,12,4,9,1,3,6002,1920,0,384,1,5,1,32,12,1,0.116044,1000,0,6000,5,1,
1,1,1280,99.4914,98.6954,1280,5,2,5,0,0,0.115722,64,1584,1,93,1500,Tesla C2050,64,4,4,9,1,3,6002,1280,0,256,1,5,1,64,4,1,0.115789,1000,0,6000,5,1,
1,1,1920,99.7143,98.9166,1920,5,2,5,0,0,0.115458,64,2112,1,93,1000,Tesla C2050,64,6,4,9,1,3,6002,1920,0,384,1,5,1,64,6,1,0.11553,1000,0,6000,5,1,
1,1,2560,98.7553,97.9652,2560,5,2,5,0,0,0.116581,64,2640,1,93,750,Tesla C2050,64,8,4,9,1,3,6002,2560,0,512,1,5,1,64,8,1,0.116652,1000,0,6000,5,1,
1,1,3200,95.5993,94.8345,3200,5,2,5,0,0,0.120437,64,3168,1,93,600,Tesla C2050,64,10,4,9,1,3,6002,3200,0,640,1,5,1,64,10,1,0.120503,1000,0,6000,5,1,
1,1,3840,98.8569,98.066,3840,5,2,5,0,0,0.116467,64,3696,1,93,500,Tesla C2050,64,12,4,9,1,3,6002,3840,0,768,1,5,1,64,12,1,0.116532,1000,0,6000,5,1,
1,1,1920,99.0559,98.2635,1920,5,2,5,0,0,0.116226,64,2352,1,62,1500,Tesla C2050,96,4,4,9,1,3,6002,1920,0,384,1,5,1,96,4,1,0.116298,1000,0,6000,5,1,
1,1,2880,90.9356,90.2082,2880,5,2,5,0,0,0.126611,64,3136,1,62,1000,Tesla C2050,96,6,4,9,1,3,6002,2880,0,576,1,5,1,96,6,1,0.126683,1000,0,6000,5,1,
1,1,3840,99.0679,98.2753,3840,5,2,5,0,0,0.116217,64,3920,1,62,750,Tesla C2050,96,8,4,9,1,3,6002,3840,0,768,1,5,1,96,8,1,0.116284,1000,0,6000,5,1,
1,1,4800,68.9886,68.4367,4800,5,2,5,0,0,0.166913,64,4704,1,62,600,Tesla C2050,96,10,4,9,1,3,6002,4800,0,960,1,5,1,96,10,1,0.166984,1000,0,6000,5,1,
1,1,2560,99.7852,97.9225,2560,5,2,5,0,0,0.11538,64,3120,1,46,1500,Tesla C2050,128,4,4,9,1,3,6002,2560,0,512,1,5,1,128,4,1,0.115448,1000,0,6000,5,1,
1,1,3840,99.7446,97.8827,3840,5,2,5,0,0,0.115422,64,4160,1,46,1000,Tesla C2050,128,6,4,9,1,3,6002,3840,0,768,1,5,1,128,6,1,0.115495,1000,0,6000,5,1,
1,1,5120,71.0992,69.772,5120,5,2,5,0,0,0.161955,64,5200,1,46,750,Tesla C2050,128,8,4,9,1,3,6002,5120,0,1024,1,5,1,128,8,1,0.162027,1000,0,6000,5,1,
1,1,1280,34.4428,73.4779,640,5,2,5,0,0,0.334401,64,816,1,200,3000,Tesla C2050,30,2,4,9,1,3,6004,600,128,128,2,5,1,32,4,0.46875,0.334468,1000,640,6000,10,1,
1,1,1920,45.9543,73.5268,960,5,2,5,0,0,0.250619,64,1088,1,200,1500,Tesla C2050,30,4,4,9,1,3,6004,1200,192,192,2,5,1,32,6,0.625,0.250684,1000,960,6000,10,1,
1,1,2560,51.4446,73.1657,1280,5,2,5,0,0,0.223859,64,1360,1,200,1000,Tesla C2050,30,6,4,9,1,3,6004,1800,256,256,2,5,1,32,8,0.703125,0.22393,1000,1280,6000,10,1,
1,1,3200,54.8029,73.0705,1600,5,2,5,0,0,0.210138,64,1632,1,200,750,Tesla C2050,30,8,4,9,1,3,6004,2400,320,320,2,5,1,32,10,0.75,0.210208,1000,1600,6000,10,1,
1,1,3840,57.0735,73.0541,1920,5,2,5,0,0,0.201779,64,1904,1,200,600,Tesla C2050,30,10,4,9,1,3,6004,3000,384,384,2,5,1,32,12,0.78125,0.201845,1000,1920,6000,10,1,
1,1,2560,35.8259,73.3714,1280,5,2,5,0,0,0.321493,64,1584,1,96,3000,Tesla C2050,62,2,4,9,1,3,6004,1240,256,256,2,5,1,64,4,0.484375,0.321555,1000,1280,6000,10,1,
1,1,3840,47.5306,73.007,1920,5,2,5,0,0,0.242303,64,2112,1,96,1500,Tesla C2050,62,4,4,9,1,3,6004,2480,384,384,2,5,1,64,6,0.645833,0.24237,1000,1920,6000,10,1,
1,1,5120,53.5998,73.1817,2560,5,2,5,0,0,0.214857,64,2640,1,96,1000,Tesla C2050,62,6,4,9,1,3,6004,3720,512,512,2,5,1,64,8,0.726562,0.214926,1000,2560,6000,10,1,
1,1,6400,55.7291,71.3333,3200,5,2,5,0,0,0.206641,64,3168,1,96,750,Tesla C2050,62,8,4,9,1,3,6004,4960,640,640,2,5,1,64,10,0.775,0.206714,1000,3200,6000,10,1,
1,1,7680,58.5309,71.9228,3840,5,2,5,0,0,0.196748,64,3696,1,96,600,Tesla C2050,62,10,4,9,1,3,6004,6200,768,768,2,5,1,64,12,0.807292,0.196819,1000,3840,6000,10,1,
1,1,3840,36.2202,73.0198,1920,5,2,5,0,0,0.31799,64,2352,1,63,3000,Tesla C2050,94,2,4,9,1,3,6004,1880,384,384,2,5,1,96,4,0.489583,0.318055,1000,1920,6000,10,1,
1,1,5760,47.1112,71.2321,2880,5,2,5,0,0,0.244467,64,3136,1,63,1500,Tesla C2050,94,4,4,9,1,3,6004,3760,576,576,2,5,1,96,6,0.652778,0.244528,1000,2880,6000,10,1,
1,1,7680,53.5269,71.9401,3840,5,2,5,0,0,0.215153,64,3920,1,63,1000,Tesla C2050,94,6,4,9,1,3,6004,5640,768,768,2,5,1,96,8,0.734375,0.215219,1000,3840,6000,10,1,
1,1,9600,46.0062,57.9678,4800,5,2,5,0,0,0.250335,64,4704,1,63,750,Tesla C2050,94,8,4,9,1,3,6004,7520,960,960,2,5,1,96,10,0.783333,0.250401,1000,4800,6000,10,1,
1,1,5120,36.5322,73.2593,2560,5,2,5,0,0,0.315277,64,3120,1,47,3000,Tesla C2050,126,2,4,9,1,3,6004,2520,512,512,2,5,1,128,4,0.492188,0.315338,1000,2560,6000,10,1,
1,1,7680,47.7842,71.8674,3840,5,2,5,0,0,0.241018,64,4160,1,47,1500,Tesla C2050,126,4,4,9,1,3,6004,5040,768,768,2,5,1,128,6,0.65625,0.241084,1000,3840,6000,10,1,
1,1,10240,43.599,58.2871,5120,5,2,5,0,0,0.264159,64,5200,1,47,1000,Tesla C2050,126,6,4,9,1,3,6004,7560,1024,1024,2,5,1,128,8,0.738281,0.264226,1000,5120,6000,10,1,
1,1,2880,22.0274,75.4218,960,5,2,5,0,0,0.522922,64,1088,1,214,3000,Tesla C2050,28,2,4,9,1,3,6006,840,384,192,3,5,1,32,6,0.291667,0.522985,1000,1920,6000,10,1,
1,1,3840,32.8813,75.0571,1280,5,2,5,0,0,0.350286,64,1360,1,214,1500,Tesla C2050,28,4,4,9,1,3,6006,1680,512,256,3,5,1,32,8,0.4375,0.350351,1000,2560,6000,10,1,
1,1,4800,39.5337,75.2018,1600,5,2,5,0,0,0.291333,64,1632,1,214,1000,Tesla C2050,28,6,4,9,1,3,6006,2520,640,320,3,5,1,32,10,0.525,0.291397,1000,3200,6000,10,1,
1,1,5760,43.8842,75.1298,1920,5,2,5,0,0,0.262445,64,1904,1,214,750,Tesla C2050,28,8,4,9,1,3,6006,3360,768,384,3,5,1,32,12,0.583333,0.262509,1000,3840,6000,10,1,
1,1,5760,23.4943,75.1817,1920,5,2,5,0,0,0.490267,64,2112,1,100,3000,Tesla C2050,60,2,4,9,1,3,6006,1800,768,384,3,5,1,64,6,0.3125,0.490332,1000,3840,6000,10,1,
1,1,7680,35.2515,75.2033,2560,5,2,5,0,0,0.326728,64,2640,1,100,1500,Tesla C2050,60,4,4,9,1,3,6006,3600,1024,512,3,5,1,64,8,0.46875,0.326794,1000,5120,6000,10,1,
1,1,9600,41.0337,72.9488,3200,5,2,5,0,0,0.28068,64,3168,1,100,1000,Tesla C2050,60,6,4,9,1,3,6006,5400,1280,640,3,5,1,64,10,0.5625,0.280745,1000,6400,6000,10,1,
