Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
14336,2589806.515625,1,1,0,12.4474,419834.765625,1,224,5,3,64,49152,14336,0.287859,1024,1,640,100,25,100,204235.562500,4,15,1,12.4474,202,8,77,0,32,1,2817720320,7,0,7,2,8,2,1,0.287932,1000,0,2590127.859375,200,200,1,14,
28672,2289804.875000,1,1,0,18.8356,454010.812500,1,448,5,3,64,49152,28672,0.190206,1024,1,960,50,25,100,163867.093750,4,15,1,18.8356,202,8,52,0,64,1,2817720320,7,0,7,4,8,2,1,0.190278,1000,0,2290143.500000,200,200,1,14,
43008,1911608.390625,1,1,0,22.4039,393042.234375,1,672,5,3,64,49152,43008,0.141467,1024,1,1280,32,24,96,154792.828125,4,15,1,22.4039,194,8,39,0,96,1,2817720320,7,0,7,6,8,2,1,0.141533,1000,0,1911591.390625,192,200,1,14,
57344,2111555.406250,1,1,0,23.6183,432533.031250,1,896,5,3,64,49152,57344,0.151678,1024,1,1600,25,25,100,189329.687500,4,15,1,23.6183,202,8,31,0,128,1,2817720320,7,0,7,8,8,2,1,0.151747,1000,0,2111085.828125,200,200,1,14,
28672,2593172.250000,1,1,0,18.3946,447332.750000,1,448,5,3,64,49152,28672,0.194771,1024,1,960,100,25,50,180476.968750,4,15,1,18.3946,202,8,52,0,64,1,2817720320,7,0,7,2,8,4,1,0.19484,1000,0,2592827.953125,200,200,1,14,
57344,2285099.812500,1,1,0,23.656,441568.562500,1,896,5,3,64,49152,57344,0.151434,1024,1,1440,50,25,50,175502.843750,4,15,1,23.656,202,8,35,0,128,1,2817720320,7,0,7,4,8,4,1,0.151505,1000,0,2284921.265625,200,200,1,14,
86016,1936529.187500,1,1,0,24.5968,374592.390625,1,1344,5,3,64,49152,86016,0.128851,1024,1,1920,32,24,48,166882.000000,4,15,1,24.5968,194,8,26,0,192,1,2817720320,7,0,7,6,8,4,1,0.128915,1000,0,1936232.312500,192,200,1,14,
114688,2136455.687500,1,1,0,24.3376,431266.625000,1,1792,5,3,64,49152,114688,0.147194,1024,1,2400,25,25,50,187055.734375,4,15,1,24.3376,202,8,21,0,256,1,2817720320,7,0,7,8,8,4,1,0.147262,1000,0,2136750.109375,200,200,1,14,
43008,2156443.421875,1,1,0,21.7599,378385.500000,1,672,5,3,64,49152,43008,0.145649,1024,1,1280,96,24,32,167059.578125,4,15,1,21.7599,194,8,39,0,96,1,2817720320,7,0,7,2,8,6,1,0.145722,1000,0,2157515.234375,192,200,1,14,
86016,2043576.468750,1,1,0,24.0381,370570.390625,1,1344,5,3,64,49152,86016,0.131848,1024,1,1920,48,24,32,174309.703125,4,15,1,24.0381,194,8,26,0,192,1,2817720320,7,0,7,4,8,6,1,0.131911,1000,0,2043677.187500,192,200,1,14,
129024,1943837.140625,1,1,0,24.4732,369527.828125,1,2016,5,3,64,49152,129024,0.129499,1024,1,2560,32,24,32,159271.781250,4,15,1,24.4732,194,8,20,0,288,1,2817720320,7,0,7,6,8,6,1,0.129566,1000,0,1943492.296875,192,200,1,14,
172032,1911222.437500,1,1,0,23.7819,408420.937500,1,2688,5,3,64,49152,172032,0.133262,1024,1,3200,24,24,32,138415.359375,4,15,1,23.7819,194,8,16,0,384,1,2817720320,7,0,7,8,8,6,1,0.133332,1000,0,1916114.687500,192,200,1,14,
57344,2582592.218750,1,1,0,22.0952,406845.437500,1,896,5,3,64,49152,57344,0.162139,1024,1,1600,100,25,25,209647.500000,4,15,1,22.0952,202,8,31,0,128,1,2817720320,7,0,7,2,8,8,1,0.162207,1000,0,2582043.765625,200,200,1,14,
114688,2322874.828125,1,1,0,23.3324,411564.812500,1,1792,5,3,64,49152,114688,0.153538,1024,1,2400,50,25,25,202354.812500,4,15,1,23.3324,202,8,21,0,256,1,2817720320,7,0,7,4,8,8,1,0.153606,1000,0,2322670.812500,200,200,1,14,
172032,1961408.343750,1,1,0,24.1503,356400.406250,1,2688,5,3,64,49152,172032,0.131234,1024,1,3200,32,24,24,162882.953125,4,15,1,24.1503,194,8,16,0,384,1,2817720320,7,0,7,6,8,8,1,0.131298,1000,0,1956734.031250,192,200,1,14,
