Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
14336,1,1,3,47.9612,1,224,5,3,64,49152,14336,0,0.0746611,1024,1,640,100,25,100,Tesla C2050,4,11,1,47.9612,202,8,77,0,32,1,2817720320,7,0,7,2,8,2,1,0.0747271,1000,0,200,7,200,1,14,
28672,1,1,3,88.3432,1,448,5,3,64,49152,28672,0,0.0405061,1024,1,960,50,25,100,Tesla C2050,4,11,1,88.3432,202,8,52,0,64,1,2817720320,7,0,7,4,8,2,1,0.0405691,1000,0,200,7,200,1,14,
43008,1,1,3,98.0485,1,672,5,3,64,49152,43008,0,0.0322721,1024,1,1280,32,24,96,Tesla C2050,4,11,1,98.0485,194,8,39,0,96,1,2817720320,7,0,7,6,8,2,1,0.03234,1000,0,192,7,200,1,14,
57344,1,1,3,98.2002,1,896,5,3,64,49152,57344,0,0.036432,1024,1,1600,25,25,100,Tesla C2050,4,11,1,98.2002,202,8,31,0,128,1,2817720320,7,0,7,8,8,2,1,0.0364969,1000,0,200,7,200,1,14,
28672,1,1,3,88.3105,1,448,5,3,64,49152,28672,0,0.0405167,1024,1,960,100,25,50,Tesla C2050,4,11,1,88.3105,202,8,52,0,64,1,2817720320,7,0,7,2,8,4,1,0.0405841,1000,0,200,7,200,1,14,
57344,1,1,3,98.2027,1,896,5,3,64,49152,57344,0,0.0364301,1024,1,1440,50,25,50,Tesla C2050,4,11,1,98.2027,202,8,35,0,128,1,2817720320,7,0,7,4,8,4,1,0.0364959,1000,0,200,7,200,1,14,
86016,1,1,3,99.0777,1,1344,5,3,64,49152,86016,0,0.0319333,1024,1,1920,32,24,48,Tesla C2050,4,11,1,99.0777,194,8,26,0,192,1,2817720320,7,0,7,6,8,4,1,0.0320041,1000,0,192,7,200,1,14,
114688,1,1,3,99.0139,1,1792,5,3,64,49152,114688,0,0.0361324,1024,1,2400,25,25,50,Tesla C2050,4,11,1,99.0139,202,8,21,0,256,1,2817720320,7,0,7,8,8,4,1,0.0361969,1000,0,200,7,200,1,14,
43008,1,1,3,98.0731,1,672,5,3,64,49152,43008,0,0.0322659,1024,1,1280,96,24,32,Tesla C2050,4,11,1,98.0731,194,8,39,0,96,1,2817720320,7,0,7,2,8,6,1,0.0323319,1000,0,192,7,200,1,14,
86016,1,1,3,99.0069,1,1344,5,3,64,49152,86016,0,0.0319609,1024,1,1920,48,24,32,Tesla C2050,4,11,1,99.0069,194,8,26,0,192,1,2817720320,7,0,7,4,8,6,1,0.032027,1000,0,192,7,200,1,14,
