Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Max Blocks,Num Blocks (Shared),Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
73728,7187328.046875,1,1,1152,44.6051,44.6051,1186576.296875,1,1152,9,2,64,49152,73728,0.462348,1024,1,816,1,187,1496,32,4,226077.375000,4,15,1,0,5986,8,61,1152,0,128,1,2817720320,9,0,9,1,32,4,1,0.462404,1000,0,7188043.296875,5984,6000,1,14,
110592,7192265.359375,1,1,1728,43.3914,43.3914,1184790.828125,1,1728,9,2,64,49152,110592,0.470194,1024,1,1088,1,186,992,32,6,210421.718750,4,15,1,0,5954,8,46,1728,0,192,1,2817720320,9,0,9,1,32,6,1,0.470267,1000,0,7192692.640625,5952,6000,1,14,
147456,7411237.843750,1,1,2304,45.3541,45.3541,1214422.765625,1,2304,9,2,64,49152,147456,0.454708,1024,1,1360,1,187,748,32,8,207626.234375,4,15,1,0,5986,8,37,2304,0,256,1,2817720320,9,0,9,1,32,8,1,0.454767,1000,0,7415196.375000,5984,6000,1,14,
184320,7210274.234375,1,1,2880,45.383,45.383,1189758.171875,1,2880,9,2,64,49152,184320,0.444742,1024,1,1632,1,185,592,32,10,190448.609375,4,15,1,0,5922,8,31,2880,0,320,1,2817720320,9,0,9,1,32,10,1,0.444808,1000,0,7210789.640625,5920,6000,1,14,
221184,7397614.265625,1,1,3456,41.262,41.262,1216614.296875,1,3456,9,2,64,49152,221184,0.494477,1024,1,1904,1,186,496,32,12,183065.750000,4,15,1,0,5954,8,26,3456,0,384,1,2817720320,9,0,9,1,32,12,1,0.494536,1000,0,7398397.093750,5952,6000,1,14,
147456,7137999.375000,1,1,2304,36.9267,36.9267,1220976.890625,1,2304,9,2,64,49152,147456,0.552537,1024,1,1584,1,93,1488,64,4,175786.000000,4,15,1,0,5954,8,32,2304,0,256,1,2817720320,9,0,9,1,64,4,1,0.552596,1000,0,7138325.359375,5952,6000,1,14,
221184,7279179.359375,1,1,3456,38.2611,38.2611,1241963.078125,1,3456,9,2,64,49152,221184,0.533258,1024,1,2112,1,93,992,64,6,157361.328125,4,15,1,0,5954,8,24,3456,0,384,1,2817720320,9,0,9,1,64,6,1,0.533324,1000,0,7279711.796875,5952,6000,1,14,
294912,7314851.531250,1,1,4608,41.6268,41.6268,1249858.609375,1,4608,9,2,64,49152,294912,0.490145,1024,1,2640,1,93,744,64,8,147915.968750,4,15,1,0,5954,8,19,4608,0,512,1,2817720320,9,0,9,1,64,8,1,0.490202,1000,0,7314833.203125,5952,6000,1,14,
368640,6846940.453125,1,1,5760,43.9095,43.9095,1175629.812500,1,5760,9,2,64,49152,368640,0.435162,1024,1,3168,1,90,576,64,10,133204.375000,4,15,1,0,5762,8,16,5760,0,640,1,2817720320,9,0,9,1,64,10,1,0.43522,1000,0,6848035.734375,5760,6000,1,14,
442368,7304679.718750,1,1,6912,46.1477,46.1477,1257265.281250,1,6912,9,2,64,49152,442368,0.442115,1024,1,3696,1,93,496,64,12,138705.375000,4,15,1,0,5954,8,14,6912,0,768,1,2817720320,9,0,9,1,64,12,1,0.442179,1000,0,7305166.046875,5952,6000,1,14,
221184,7077108.546875,1,1,3456,38.9349,38.9349,1240485.765625,1,3456,9,2,64,49152,221184,0.524035,1024,1,2352,1,62,1488,96,4,157412.015625,4,15,1,0,5954,8,21,3456,0,384,1,2817720320,9,0,9,1,96,4,1,0.524094,1000,0,7077072.125000,5952,6000,1,14,
331776,7181816.343750,1,1,5184,41.8998,41.8998,1258314.968750,1,5184,9,2,64,49152,331776,0.48695,1024,1,3136,1,62,992,96,6,139910.671875,4,15,1,0,5954,8,16,5184,0,576,1,2817720320,9,0,9,1,96,6,1,0.487008,1000,0,7181760.687500,5952,6000,1,14,
442368,7200680.375000,1,1,6912,44.5468,44.5468,1263341.953125,1,6912,9,2,64,49152,442368,0.458001,1024,1,3920,1,62,744,96,8,131768.171875,4,15,1,0,5954,8,13,6912,0,768,1,2817720320,9,0,9,1,96,8,1,0.45807,1000,0,7200670.187500,5952,6000,1,14,
552960,6767711.000000,1,1,8640,36.6097,36.6097,1186444.796875,1,8640,9,2,64,49152,552960,0.521939,1024,1,4704,1,60,576,96,10,119057.578125,4,15,1,0,5762,8,11,8640,0,960,1,2817720320,9,0,9,1,96,10,1,0.522001,1000,0,6769588.906250,5760,6000,1,14,
294912,6900620.687500,1,1,4608,41.3398,41.3398,1223920.593750,1,4608,9,2,64,49152,294912,0.482988,1024,1,3120,1,46,1472,128,4,144234.828125,4,15,1,0,5890,8,16,4608,0,512,1,2817720320,9,0,9,1,128,4,1,0.483047,1000,0,6901277.640625,5888,6000,1,14,
442368,6692323.796875,1,1,6912,45.3134,45.3134,1185295.562500,1,6912,9,2,64,49152,442368,0.421675,1024,1,4160,1,45,960,128,6,123136.812500,4,15,1,0,5762,8,12,6912,0,768,1,2817720320,9,0,9,1,128,6,1,0.421736,1000,0,6692806.109375,5760,6000,1,14,
589824,7007996.296875,1,1,9216,37.0136,37.0136,1241921.109375,1,9216,9,2,64,49152,589824,0.53945,1024,1,5200,1,46,736,128,8,120935.906250,4,15,1,0,5890,8,10,9216,0,1024,1,2817720320,9,0,9,1,128,8,1,0.539507,1000,0,7008842.078125,5888,6000,1,14,
73728,7109768.343750,1,1,2304,34.5729,73.7555,2609876.187500,1,1152,9,2,64,49152,34560,0.599718,1024,2,816,1,200,3000,30,2,490018.093750,4,14,1,0,6004,8,61,1080,128,128,2,2817720320,9,0,9,1,32,4,0.46875,0.599776,1000,1152,7113675.406250,6000,6000,1,14,
