Total FP,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Max Blocks,Num Blocks (Shared),Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
73728,1,1,1152,166.699,166.699,1,1152,9,2,64,49152,73728,0,0.123664,1024,1,816,1,187,1496,Tesla C2050,32,4,4,13,1,3,5986,8,61,1152,0,128,1,2817720320,9,0,9,1,32,4,1,0.123729,1000,0,5984,8,6000,1,14,
110592,1,1,1728,166.162,166.162,1,1728,9,2,64,49152,110592,0,0.122736,1024,1,1088,1,186,992,Tesla C2050,32,6,4,13,1,3,5954,8,46,1728,0,192,1,2817720320,9,0,9,1,32,6,1,0.122805,1000,0,5952,8,6000,1,14,
147456,1,1,2304,165.943,165.943,1,2304,9,2,64,49152,147456,0,0.124231,1024,1,1360,1,187,748,Tesla C2050,32,8,4,13,1,3,5986,8,37,2304,0,256,1,2817720320,9,0,9,1,32,8,1,0.124293,1000,0,5984,8,6000,1,14,
184320,1,1,2880,169.945,169.945,1,2880,9,2,64,49152,184320,0,0.118715,1024,1,1632,1,185,592,Tesla C2050,32,10,4,13,1,3,5922,8,31,2880,0,320,1,2817720320,9,0,9,1,32,10,1,0.118784,1000,0,5920,8,6000,1,14,
221184,1,1,3456,171.719,171.719,1,3456,9,2,64,49152,221184,0,0.118762,1024,1,1904,1,186,496,Tesla C2050,32,12,4,13,1,3,5954,8,26,3456,0,384,1,2817720320,9,0,9,1,32,12,1,0.118831,1000,0,5952,8,6000,1,14,
147456,1,1,2304,166.061,166.061,1,2304,9,2,64,49152,147456,0,0.12281,1024,1,1584,1,93,1488,Tesla C2050,64,4,4,13,1,3,5954,8,32,2304,0,256,1,2817720320,9,0,9,1,64,4,1,0.12288,1000,0,5952,8,6000,1,14,
221184,1,1,3456,171.457,171.457,1,3456,9,2,64,49152,221184,0,0.118941,1024,1,2112,1,93,992,Tesla C2050,64,6,4,13,1,3,5954,8,24,3456,0,384,1,2817720320,9,0,9,1,64,6,1,0.119013,1000,0,5952,8,6000,1,14,
294912,1,1,4608,171.488,171.488,1,4608,9,2,64,49152,294912,0,0.11892,1024,1,2640,1,93,744,Tesla C2050,64,8,4,13,1,3,5954,8,19,4608,0,512,1,2817720320,9,0,9,1,64,8,1,0.118991,1000,0,5952,8,6000,1,14,
368640,1,1,5760,163.606,163.606,1,5760,9,2,64,49152,368640,0,0.116734,1024,1,3168,1,90,576,Tesla C2050,64,10,4,13,1,3,5762,8,16,5760,0,640,1,2817720320,9,0,9,1,64,10,1,0.116807,1000,0,5760,8,6000,1,14,
442368,1,1,6912,166.508,166.508,1,6912,9,2,64,49152,442368,0,0.122478,1024,1,3696,1,93,496,Tesla C2050,64,12,4,13,1,3,5954,8,14,6912,0,768,1,2817720320,9,0,9,1,64,12,1,0.12255,1000,0,5952,8,6000,1,14,
221184,1,1,3456,171.761,171.761,1,3456,9,2,64,49152,221184,0,0.118731,1024,1,2352,1,62,1488,Tesla C2050,96,4,4,13,1,3,5954,8,21,3456,0,384,1,2817720320,9,0,9,1,96,4,1,0.118802,1000,0,5952,8,6000,1,14,
331776,1,1,5184,159.825,159.825,1,5184,9,2,64,49152,331776,0,0.127605,1024,1,3136,1,62,992,Tesla C2050,96,6,4,13,1,3,5954,8,16,5184,0,576,1,2817720320,9,0,9,1,96,6,1,0.127674,1000,0,5952,8,6000,1,14,
442368,1,1,6912,164.281,164.281,1,6912,9,2,64,49152,442368,0,0.12414,1024,1,3920,1,62,744,Tesla C2050,96,8,4,13,1,3,5954,8,13,6912,0,768,1,2817720320,9,0,9,1,96,8,1,0.124211,1000,0,5952,8,6000,1,14,
552960,1,1,8640,117.102,117.102,1,8640,9,2,64,49152,552960,0,0.163122,1024,1,4704,1,60,576,Tesla C2050,96,10,4,13,1,3,5762,8,11,8640,0,960,1,2817720320,9,0,9,1,96,10,1,0.163193,1000,0,5760,8,6000,1,14,
294912,1,1,4608,171.441,171.441,1,4608,9,2,64,49152,294912,0,0.116403,1024,1,3120,1,46,1472,Tesla C2050,128,4,4,13,1,3,5890,8,16,4608,0,512,1,2817720320,9,0,9,1,128,4,1,0.116478,1000,0,5888,8,6000,1,14,
442368,1,1,6912,166.482,166.482,1,6912,9,2,64,49152,442368,0,0.114719,1024,1,4160,1,45,960,Tesla C2050,128,6,4,13,1,3,5762,8,12,6912,0,768,1,2817720320,9,0,9,1,128,6,1,0.114789,1000,0,5760,8,6000,1,14,
589824,1,1,9216,116.996,116.996,1,9216,9,2,64,49152,589824,0,0.170618,1024,1,5200,1,46,736,Tesla C2050,128,8,4,13,1,3,5890,8,10,9216,0,1024,1,2817720320,9,0,9,1,128,8,1,0.170682,1000,0,5888,8,6000,1,14,
73728,1,1,2304,55.7228,118.875,1,1152,9,2,64,49152,34560,0,0.372064,1024,2,816,1,200,3000,Tesla C2050,30,2,4,12,1,3,6004,8,61,1080,128,128,2,2817720320,9,0,9,1,32,4,0.46875,0.372128,1000,1152,6000,16,6000,1,14,
110592,1,1,3456,74.1888,118.702,1,1728,9,2,64,49152,69120,0,0.279397,1024,2,1088,1,200,1500,Tesla C2050,30,4,4,12,1,3,6004,8,46,2160,192,192,2,2817720320,9,0,9,1,32,6,0.625,0.279503,1000,1728,6000,16,6000,1,14,
147456,1,1,4608,83.1319,118.232,1,2304,9,2,64,49152,103680,0,0.249366,1024,2,1360,1,200,1000,Tesla C2050,30,6,4,12,1,3,6004,8,37,3240,256,256,2,2817720320,9,0,9,1,32,8,0.703125,0.249435,1000,2304,6000,16,6000,1,14,
184320,1,1,5760,88.9118,118.549,1,2880,9,2,64,49152,138240,0,0.233149,1024,2,1632,1,200,750,Tesla C2050,30,8,4,12,1,3,6004,8,31,4320,320,320,2,2817720320,9,0,9,1,32,10,0.75,0.23322,1000,2880,6000,16,6000,1,14,
221184,1,1,6912,92.571,118.491,1,3456,9,2,64,49152,172800,0,0.223934,1024,2,1904,1,200,600,Tesla C2050,30,10,4,12,1,3,6004,8,26,5400,384,384,2,2817720320,9,0,9,1,32,12,0.78125,0.224001,1000,3456,6000,16,6000,1,14,
147456,1,1,4608,57.3151,118.328,1,2304,9,2,64,49152,71424,0,0.355952,1024,2,1584,1,96,2976,Tesla C2050,62,2,4,12,1,3,5956,8,32,2232,256,256,2,2817720320,9,0,9,1,64,4,0.484375,0.356024,1000,2304,5952,16,6000,1,14,
221184,1,1,6912,76.5397,118.513,1,3456,9,2,64,49152,142848,0,0.266534,1024,2,2112,1,96,1488,Tesla C2050,62,4,4,12,1,3,5956,8,24,4464,384,384,2,2817720320,9,0,9,1,64,6,0.645833,0.266601,1000,3456,5952,16,6000,1,14,
294912,1,1,9216,85.9782,118.336,1,4608,9,2,64,49152,214272,0,0.237265,1024,2,2640,1,96,992,Tesla C2050,62,6,4,12,1,3,5956,8,19,6696,512,512,2,2817720320,9,0,9,1,64,8,0.726562,0.237334,1000,4608,5952,16,6000,1,14,
368640,1,1,11520,88.5539,114.263,1,5760,9,2,64,49152,285696,0,0.230365,1024,2,3168,1,96,744,Tesla C2050,62,8,4,12,1,3,5956,8,16,8928,640,640,2,2817720320,9,0,9,1,64,10,0.775,0.230431,1000,5760,5952,16,6000,1,14,
442368,1,1,13824,93.8584,116.263,1,6912,9,2,64,49152,357120,0,0.212831,1024,2,3696,1,95,589,Tesla C2050,62,10,4,12,1,3,5894,8,14,11160,768,768,2,2817720320,9,0,9,1,64,12,0.807292,0.212902,1000,6912,5890,16,6000,1,14,
221184,1,1,6912,58.0386,118.547,1,3456,9,2,64,49152,108288,0,0.347985,1024,2,2352,1,63,2961,Tesla C2050,94,2,4,12,1,3,5926,8,21,3384,384,384,2,2817720320,9,0,9,1,96,4,0.489583,0.348051,1000,3456,5922,16,6000,1,14,
331776,1,1,10368,75.3692,115.459,1,5184,9,2,64,49152,216576,0,0.259511,1024,2,3136,1,62,1457,Tesla C2050,94,4,4,12,1,3,5832,8,16,6768,576,576,2,2817720320,9,0,9,1,96,6,0.652778,0.259578,1000,5184,5828,16,6000,1,14,
442368,1,1,13824,85.3579,116.232,1,6912,9,2,64,49152,324864,0,0.236587,1024,2,3920,1,63,987,Tesla C2050,94,6,4,12,1,3,5926,8,13,10152,768,768,2,2817720320,9,0,9,1,96,8,0.734375,0.236655,1000,6912,5922,16,6000,1,14,
552960,1,1,17280,74.6734,95.3278,1,8640,9,2,64,49152,433152,0,0.245301,1024,2,4704,1,60,705,Tesla C2050,94,8,4,12,1,3,5644,8,11,13536,960,960,2,2817720320,9,0,9,1,96,10,0.783333,0.245366,1000,8640,5640,16,6000,1,14,
294912,1,1,9216,58.2564,118.362,1,4608,9,2,64,49152,145152,0,0.346677,1024,2,3120,1,47,2961,Tesla C2050,126,2,4,12,1,3,5926,8,16,4536,512,512,2,2817720320,9,0,9,1,128,4,0.492188,0.346749,1000,4608,5922,16,6000,1,14,
442368,1,1,13824,76.4505,116.496,1,6912,9,2,64,49152,290304,0,0.253043,1024,2,4160,1,46,1449,Tesla C2050,126,4,4,12,1,3,5800,8,12,9072,768,768,2,2817720320,9,0,9,1,128,6,0.65625,0.253104,1000,6912,5796,16,6000,1,14,
589824,1,1,18432,70.8536,95.9711,1,9216,9,2,64,49152,435456,0,0.285033,1024,2,5200,1,47,987,Tesla C2050,126,6,4,12,1,3,5926,8,10,13608,1024,1024,2,2817720320,9,0,9,1,128,8,0.738281,0.2851,1000,9216,5922,16,6000,1,14,
110592,1,1,5184,34.8196,119.382,1,1728,9,2,64,49152,32256,0,0.593881,1024,3,1088,1,214,2996,Tesla C2050,28,2,4,12,1,3,5998,8,46,1512,384,192,3,2817720320,9,0,9,1,32,6,0.291667,0.593939,1000,3456,5992,16,6000,1,14,
147456,1,1,6912,52.1005,119.087,1,2304,9,2,64,49152,64512,0,0.396872,1024,3,1360,1,214,1498,Tesla C2050,28,4,4,12,1,3,5998,8,37,3024,512,256,3,2817720320,9,0,9,1,32,8,0.4375,0.396939,1000,4608,5992,16,6000,1,14,
184320,1,1,8640,62.6847,119.399,1,2880,9,2,64,49152,96768,0,0.326778,1024,3,1632,1,213,994,Tesla C2050,28,6,4,12,1,3,5970,8,31,4536,640,320,3,2817720320,9,0,9,1,32,10,0.525,0.326841,1000,5760,5964,16,6000,1,14,
