Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
14336,2674103.593750,1,1,0,30.2323,2140878.671875,1,224,27,3,64,49152,14336,0.457199,1024,1,640,100,25,100,201353.890625,4,20,1,30.2323,202,8,77,0,32,1,2817720320,27,0,27,2,8,2,1,0.457259,1000,0,2675444.125000,200,200,1,14,
28672,2380519.109375,1,1,0,35.1111,1994448.718750,1,448,27,3,64,49152,28672,0.393661,1024,1,960,50,25,100,338304.062500,4,20,1,35.1111,202,8,52,0,64,1,2817720320,27,0,27,4,8,2,1,0.393722,1000,0,2379901.843750,200,200,1,14,
43008,1996625.203125,1,1,0,34.8432,1730544.812500,1,672,27,3,64,49152,43008,0.350945,1024,1,1280,32,24,96,398522.500000,4,20,1,34.8432,194,8,39,0,96,1,2817720320,27,0,27,6,8,2,1,0.351018,1000,0,1997780.484375,192,200,1,14,
57344,2210482.453125,1,1,0,31.8184,1728728.062500,1,896,27,3,64,49152,57344,0.434414,1024,1,1600,25,25,100,644142.359375,4,20,1,31.8184,202,8,31,0,128,1,2817720320,27,0,27,8,8,2,1,0.434465,1000,0,2212470.750000,200,200,1,14,
28672,2698483.859375,1,1,0,32.9258,1871331.281250,1,448,27,3,64,49152,28672,0.419789,1024,1,960,100,25,50,474995.500000,4,20,1,32.9258,202,8,52,0,64,1,2817720320,27,0,27,2,8,4,1,0.419853,1000,0,2699747.406250,200,200,1,14,
57344,2401276.187500,1,1,0,33.8828,1693208.531250,1,896,27,3,64,49152,57344,0.407934,1024,1,1440,50,25,50,582172.140625,4,20,1,33.8828,202,8,35,0,128,1,2817720320,27,0,27,4,8,4,1,0.407994,1000,0,2398348.156250,200,200,1,14,
86016,2012595.687500,1,1,0,27.6039,1247730.750000,1,1344,27,3,64,49152,86016,0.443005,1024,1,1920,32,24,48,748846.109375,4,20,1,27.6039,194,8,26,0,192,1,2817720320,27,0,27,6,8,4,1,0.443075,1000,0,2014250.328125,192,200,1,14,
114688,2229898.328125,1,1,0,34.2304,2317014.453125,1,1792,27,3,64,49152,114688,0.403794,1024,1,2400,25,25,50,234001.390625,4,20,1,34.2304,202,8,21,0,256,1,2817720320,27,0,27,8,8,4,1,0.403851,1000,0,2221799.625000,200,200,1,14,
43008,2248897.281250,1,1,0,29.2016,1413704.812500,1,672,27,3,64,49152,43008,0.418773,1024,1,1280,96,24,32,638088.390625,4,20,1,29.2016,194,8,39,0,96,1,2817720320,27,0,27,2,8,6,1,0.418833,1000,0,2251013.640625,192,200,1,14,
86016,2121619.578125,1,1,0,24.9386,1209810.328125,1,1344,27,3,64,49152,86016,0.490373,1024,1,1920,48,24,32,828223.937500,4,20,1,24.9386,194,8,26,0,192,1,2817720320,27,0,27,4,8,6,1,0.490428,1000,0,2122898.265625,192,200,1,14,
129024,2032682.406250,1,1,0,38.6994,1860627.734375,1,2016,27,3,64,49152,129024,0.315983,1024,1,2560,32,24,32,208003.046875,4,20,1,38.6994,194,8,20,0,288,1,2817720320,27,0,27,6,8,6,1,0.316041,1000,0,2032882.343750,192,200,1,14,
172032,1987704.765625,1,1,0,37.3196,1821567.375000,1,2688,27,3,64,49152,172032,0.327654,1024,1,3200,24,24,32,246991.703125,4,20,1,37.3196,194,8,16,0,384,1,2817720320,27,0,27,8,8,6,1,0.327726,1000,0,1988549.812500,192,200,1,14,
57344,2685834.328125,1,1,0,25.0051,1373448.968750,1,896,27,3,64,49152,57344,0.552784,1024,1,1600,100,25,25,925295.328125,4,20,1,25.0051,202,8,31,0,128,1,2817720320,27,0,27,2,8,8,1,0.552847,1000,0,2688413.718750,200,200,1,14,
114688,2410202.218750,1,1,0,29.5935,1891810.906250,1,1792,27,3,64,49152,114688,0.467069,1024,1,2400,50,25,25,408188.656250,4,20,1,29.5935,202,8,21,0,256,1,2817720320,27,0,27,4,8,8,1,0.46713,1000,0,2412887.390625,200,200,1,14,
172032,2037260.453125,1,1,0,37.0357,1842176.609375,1,2688,27,3,64,49152,172032,0.330162,1024,1,3200,32,24,24,229606.078125,4,20,1,37.0357,194,8,16,0,384,1,2817720320,27,0,27,6,8,8,1,0.330238,1000,0,2039657.859375,192,200,1,14,
229376,2275405.765625,1,1,0,34.9387,1968704.062500,1,3584,27,3,64,49152,229376,0.395604,1024,1,4000,25,25,25,364359.375000,4,20,1,34.9387,202,8,13,0,512,1,2817720320,27,0,27,8,8,8,1,0.395665,1000,0,2276268.703125,200,200,1,14,
28672,2115533.156250,1,1,0,53.6108,1014822.359375,1,448,27,3,64,49152,28672,0.228073,1024,1,1152,96,12,96,206967.046875,4,20,1,53.6108,194,8,43,0,64,1,2817720320,27,0,27,2,16,2,1,0.228137,1000,0,2116775.843750,192,200,1,14,
57344,1964044.015625,1,1,0,58.6748,1090630.375000,1,896,27,3,64,49152,57344,0.208381,1024,1,1728,48,12,96,161117.406250,4,20,1,58.6748,194,8,29,0,128,1,2817720320,27,0,27,4,16,2,1,0.208447,1000,0,1963384.078125,192,200,1,14,
86016,1878330.140625,1,1,0,53.2311,934198.625000,1,1344,27,3,64,49152,86016,0.229706,1024,1,2304,32,12,96,169219.343750,4,20,1,53.2311,194,8,22,0,192,1,2817720320,27,0,27,6,16,2,1,0.229764,1000,0,1878067.671875,192,200,1,14,
114688,1812877.390625,1,1,0,58.4862,1111276.921875,1,1792,27,3,64,49152,114688,0.209057,1024,1,2880,24,12,96,137474.093750,4,20,1,58.4862,194,8,18,0,256,1,2817720320,27,0,27,8,16,2,1,0.209119,1000,0,1813759.109375,192,200,1,14,
57344,2119919.937500,1,1,0,54.8258,1099586.062500,1,896,27,3,64,49152,57344,0.223006,1024,1,1728,96,12,48,159646.000000,4,20,1,54.8258,194,8,29,0,128,1,2817720320,27,0,27,2,16,4,1,0.223081,1000,0,2125645.125000,192,200,1,14,
114688,1974722.031250,1,1,0,55.0263,1133120.625000,1,1792,27,3,64,49152,114688,0.222196,1024,1,2592,48,12,48,114642.937500,4,20,1,55.0263,194,8,19,0,256,1,2817720320,27,0,27,4,16,4,1,0.222268,1000,0,1975028.859375,192,200,1,14,
172032,1873403.093750,1,1,0,54.2153,1139704.140625,1,2688,27,3,64,49152,172032,0.225515,1024,1,3456,32,12,48,105417.406250,4,20,1,54.2153,194,8,15,0,384,1,2817720320,27,0,27,6,16,4,1,0.225593,1000,0,1873485.640625,192,200,1,14,
