Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
14336,1,1,2,32.5034,1,224,27,3,64,49152,14336,0,0.425251,1024,1,640,100,25,100,Tesla C2050,4,20,1,32.5034,202,8,77,0,32,1,2817720320,27,0,27,2,8,2,1,0.425309,1000,0,200,26,200,1,14,
28672,1,1,2,35.6901,1,448,27,3,64,49152,28672,0,0.387278,1024,1,960,50,25,100,Tesla C2050,4,20,1,35.6901,202,8,52,0,64,1,2817720320,27,0,27,4,8,2,1,0.387334,1000,0,200,26,200,1,14,
43008,1,1,2,35.1194,1,672,27,3,64,49152,43008,0,0.348201,1024,1,1280,32,24,96,Tesla C2050,4,20,1,35.1194,194,8,39,0,96,1,2817720320,27,0,27,6,8,2,1,0.348257,1000,0,192,26,200,1,14,
57344,1,1,2,33.8741,1,896,27,3,64,49152,57344,0,0.408044,1024,1,1600,25,25,100,Tesla C2050,4,20,1,33.8741,202,8,31,0,128,1,2817720320,27,0,27,8,8,2,1,0.408099,1000,0,200,26,200,1,14,
28672,1,1,2,34.0063,1,448,27,3,64,49152,28672,0,0.406457,1024,1,960,100,25,50,Tesla C2050,4,20,1,34.0063,202,8,52,0,64,1,2817720320,27,0,27,2,8,4,1,0.406513,1000,0,200,26,200,1,14,
57344,1,1,2,36.2768,1,896,27,3,64,49152,57344,0,0.381011,1024,1,1440,50,25,50,Tesla C2050,4,20,1,36.2768,202,8,35,0,128,1,2817720320,27,0,27,4,8,4,1,0.38107,1000,0,200,26,200,1,14,
86016,1,1,2,28.1796,1,1344,27,3,64,49152,86016,0,0.43397,1024,1,1920,32,24,48,Tesla C2050,4,20,1,28.1796,194,8,26,0,192,1,2817720320,27,0,27,6,8,4,1,0.434023,1000,0,192,26,200,1,14,
114688,1,1,2,36.5044,1,1792,27,3,64,49152,114688,0,0.378639,1024,1,2400,25,25,50,Tesla C2050,4,20,1,36.5044,202,8,21,0,256,1,2817720320,27,0,27,8,8,4,1,0.378694,1000,0,200,26,200,1,14,
43008,1,1,2,28.9147,1,672,27,3,64,49152,43008,0,0.422936,1024,1,1280,96,24,32,Tesla C2050,4,20,1,28.9147,194,8,39,0,96,1,2817720320,27,0,27,2,8,6,1,0.422989,1000,0,192,26,200,1,14,
86016,1,1,2,25.2705,1,1344,27,3,64,49152,86016,0,0.483937,1024,1,1920,48,24,32,Tesla C2050,4,20,1,25.2705,194,8,26,0,192,1,2817720320,27,0,27,4,8,6,1,0.483986,1000,0,192,26,200,1,14,
