fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
10792467.468750,1,1,5632,160.526,160.097,572565.953125,768,13,2,13,0,0.602767,64,2448,1,187,1500,32,4,380345.000000,4,16,1,0,6002,5632,0,384,1,10819703.812500,42,1,32,4,1,0.60282,1000,0,1,
10898653.250000,1,1,8448,157.301,156.881,585953.500000,1152,13,2,13,0,0.615123,64,3264,1,187,1000,32,6,365715.406250,4,16,1,0,6002,8448,0,576,1,10899318.703125,42,1,32,6,1,0.615178,1000,0,1,
10933399.578125,1,1,11264,150.983,150.58,598197.640625,1536,13,2,13,0,0.640866,64,4080,1,187,750,32,8,353777.937500,4,16,1,0,6002,11264,0,768,1,10934422.062500,42,1,32,8,1,0.640921,1000,0,1,
10943202.734375,1,1,14080,147.774,147.38,607239.921875,1920,13,2,13,0,0.654783,64,4896,1,187,600,32,10,345295.953125,4,16,1,0,6002,14080,0,960,1,10944095.203125,42,1,32,10,1,0.654837,1000,0,1,
10915700.406250,1,1,16896,146.95,146.558,609742.312500,2304,13,2,13,0,0.658456,64,5712,1,187,500,32,12,341953.343750,4,16,1,0,6002,16896,0,1152,1,10916772.421875,42,1,32,12,1,0.658509,1000,0,1,
10763338.390625,1,1,11264,142.562,141.421,652421.765625,1536,13,2,13,0,0.678723,64,4752,1,93,1500,64,4,293796.953125,4,16,1,0,6002,11264,0,768,1,10762953.343750,42,1,64,4,1,0.67878,1000,0,1,
10818702.906250,1,1,16896,136.58,135.488,668910.609375,2304,13,2,13,0,0.70845,64,6336,1,93,1000,64,6,277815.859375,4,16,1,0,6002,16896,0,1152,1,10818818.312500,42,1,64,6,1,0.708507,1000,0,1,
10780671.140625,1,1,22528,142.241,141.104,676176.203125,3072,13,2,13,0,0.680255,64,7920,1,93,750,64,8,270023.140625,4,16,1,0,6002,22528,0,1536,1,10780590.218750,42,1,64,8,1,0.680308,1000,0,1,
10785983.203125,1,1,28160,149.038,147.846,681501.328125,3840,13,2,13,0,0.649227,64,9504,1,93,600,64,10,265414.062500,4,16,1,0,6002,28160,0,1920,1,10785929.109375,42,1,64,10,1,0.649285,1000,0,1,
10769697.171875,1,1,33792,151.981,150.765,678787.765625,4608,13,2,13,0,0.636656,64,11088,1,93,500,64,12,268268.984375,4,16,1,0,6002,33792,0,2304,1,10769336.375000,42,1,64,12,1,0.636713,1000,0,1,
10693001.375000,1,1,16896,138.609,137.5,683433.031250,2304,13,2,13,0,0.698077,64,7056,1,62,1500,96,4,263063.171875,4,16,1,0,6002,16896,0,1152,1,10692686.578125,42,1,96,4,1,0.698136,1000,0,1,
10757213.437500,1,1,25344,142.806,141.663,695226.218750,3456,13,2,13,0,0.67756,64,9408,1,62,1000,96,6,251190.562500,4,16,1,0,6002,25344,0,1728,1,10757054.562500,42,1,96,6,1,0.677619,1000,0,1,
