Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,1,5632,562.614,561.114,768,13,2,13,0,3,0.171935,64,2448,1,187,1500,Tesla C2050,32,4,4,16,1,3,6002,5632,0,384,1,42,1,32,4,1,0.171997,1000,0,45,1,
1,1,8448,605.076,603.463,1152,13,2,13,0,3,0.15986,64,3264,1,187,1000,Tesla C2050,32,6,4,16,1,3,6002,8448,0,576,1,42,1,32,6,1,0.159927,1000,0,45,1,
1,1,11264,598.578,596.982,1536,13,2,13,0,3,0.161598,64,4080,1,187,750,Tesla C2050,32,8,4,16,1,3,6002,11264,0,768,1,42,1,32,8,1,0.161663,1000,0,45,1,
1,1,14080,538.063,536.628,1920,13,2,13,0,3,0.179784,64,4896,1,187,600,Tesla C2050,32,10,4,16,1,3,6002,14080,0,960,1,42,1,32,10,1,0.179845,1000,0,45,1,
1,1,16896,585.451,583.89,2304,13,2,13,0,3,0.165224,64,5712,1,187,500,Tesla C2050,32,12,4,16,1,3,6002,16896,0,1152,1,42,1,32,12,1,0.165288,1000,0,45,1,
1,1,11264,607.676,602.814,1536,13,2,13,0,3,0.159175,64,4752,1,93,1500,Tesla C2050,64,4,4,16,1,3,6002,11264,0,768,1,42,1,64,4,1,0.159243,1000,0,45,1,
1,1,16896,600.812,596.006,2304,13,2,13,0,3,0.161001,64,6336,1,93,1000,Tesla C2050,64,6,4,16,1,3,6002,16896,0,1152,1,42,1,64,6,1,0.161062,1000,0,45,1,
1,1,22528,594.884,590.125,3072,13,2,13,0,3,0.162598,64,7920,1,93,750,Tesla C2050,64,8,4,16,1,3,6002,22528,0,1536,1,42,1,64,8,1,0.162667,1000,0,45,1,
1,1,28160,514.18,510.066,3840,13,2,13,0,3,0.188136,64,9504,1,93,600,Tesla C2050,64,10,4,16,1,3,6002,28160,0,1920,1,42,1,64,10,1,0.188199,1000,0,45,1,
1,1,33792,554.643,550.206,4608,13,2,13,0,3,0.174408,64,11088,1,93,500,Tesla C2050,64,12,4,16,1,3,6002,33792,0,2304,1,42,1,64,12,1,0.174469,1000,0,45,1,
