Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Max Blocks,Num Blocks (Shared),Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
483328,14188595.859375,1,1,7552,207.194,206.642,901602.781250,8,896,7,2,64,49152,483328,0.656018,1024,1,816,1,187,1500,32,4,512889.312500,4,18,1,0,6002,8,31,7552,0,128,1,2817720320,7,0,59,1,32,4,1,0.65608,1000,0,14186546.375000,6000,6000,1,14,
724992,14211832.875000,1,1,11328,212.114,211.549,894022.375000,8,1344,7,2,64,49152,724992,0.640796,1024,1,1088,1,187,1000,32,6,532040.375000,4,18,1,0,6002,8,23,11328,0,192,1,2817720320,7,0,59,1,32,6,1,0.640862,1000,0,14219048.296875,6000,6000,1,14,
966656,14117297.390625,1,1,15104,216.738,216.16,871725.015625,8,1792,7,2,64,49152,966656,0.627129,1024,1,1360,1,187,750,32,8,544224.140625,4,18,1,0,6002,8,19,15104,0,256,1,2817720320,7,0,59,1,32,8,1,0.62719,1000,0,14122837.828125,6000,6000,1,14,
1208320,14105681.031250,1,1,18880,215.664,215.089,885556.531250,8,2240,7,2,64,49152,1208320,0.630256,1024,1,1632,1,187,600,32,10,539702.562500,4,18,1,0,6002,8,16,18880,0,320,1,2817720320,7,0,59,1,32,10,1,0.630314,1000,0,14108083.250000,6000,6000,1,14,
1449984,14079262.265625,1,1,22656,215.099,214.525,882258.453125,8,2688,7,2,64,49152,1449984,0.631907,1024,1,1904,1,187,500,32,12,541854.484375,4,18,1,0,6002,8,13,22656,0,384,1,2817720320,7,0,59,1,32,12,1,0.63197,1000,0,14081826.578125,6000,6000,1,14,
966656,14103338.625000,1,1,15104,183.912,182.441,992851.687500,8,1792,7,2,64,49152,966656,0.739059,1024,1,1584,1,93,1500,64,4,421805.875000,4,18,1,0,6002,8,16,15104,0,256,1,2817720320,7,0,59,1,64,4,1,0.739136,1000,0,14104712.359375,6000,6000,1,14,
1449984,14007552.421875,1,1,22656,205.432,203.789,1002769.015625,8,2688,7,2,64,49152,1449984,0.66165,1024,1,2112,1,93,1000,64,6,412406.671875,4,18,1,0,6002,8,12,22656,0,384,1,2817720320,7,0,59,1,64,6,1,0.661707,1000,0,14010846.687500,6000,6000,1,14,
1933312,13899496.984375,1,1,30208,212.529,210.829,1003121.375000,8,3584,7,2,64,49152,1933312,0.639537,1024,1,2640,1,93,750,64,8,412471.015625,4,18,1,0,6002,8,10,30208,0,512,1,2817720320,7,0,59,1,64,8,1,0.639611,1000,0,13900376.578125,6000,6000,1,14,
2416640,14043870.406250,1,1,37760,205.396,203.752,1006577.328125,8,4480,7,2,64,49152,2416640,0.661765,1024,1,3168,1,93,600,64,10,406890.218750,4,18,1,0,6002,8,8,37760,0,640,1,2817720320,7,0,59,1,64,10,1,0.661825,1000,0,14044825.031250,6000,6000,1,14,
2899968,14053847.140625,1,1,45312,204.732,203.094,995078.312500,8,5376,7,2,64,49152,2899968,0.663912,1024,1,3696,1,93,500,64,12,418395.750000,4,18,1,0,6002,8,7,45312,0,768,1,2817720320,7,0,59,1,64,12,1,0.663971,1000,0,14055251.015625,6000,6000,1,14,
1449984,13866642.890625,1,1,22656,207.687,206.025,1032673.234375,8,2688,7,2,64,49152,1449984,0.65446,1024,1,2352,1,62,1500,96,4,383725.234375,4,18,1,0,6002,8,11,22656,0,384,1,2817720320,7,0,59,1,96,4,1,0.654525,1000,0,13867570.500000,6000,6000,1,14,
2174976,13900139.531250,1,1,33984,208.516,206.848,1038969.734375,8,4032,7,2,64,49152,2174976,0.651862,1024,1,3136,1,62,1000,96,6,377050.968750,4,18,1,0,6002,8,8,33984,0,576,1,2817720320,7,0,59,1,96,6,1,0.65192,1000,0,13901188.812500,6000,6000,1,14,
2899968,13962928.375000,1,1,45312,205.389,203.746,1034313.421875,8,5376,7,2,64,49152,2899968,0.661779,1024,1,3920,1,62,750,96,8,380544.640625,4,18,1,0,6002,8,7,45312,0,768,1,2817720320,7,0,59,1,96,8,1,0.661845,1000,0,13964024.890625,6000,6000,1,14,
3624960,14095434.656250,1,1,56640,164.112,162.8,1052447.171875,8,6720,7,2,64,49152,3624960,0.828249,1024,1,4704,1,62,600,96,10,362526.234375,4,18,1,0,6002,8,6,56640,0,960,1,2817720320,7,0,59,1,96,10,1,0.82831,1000,0,14098217.734375,6000,6000,1,14,
1933312,13630924.890625,1,1,30208,220.956,216.831,1033479.500000,8,3584,7,2,64,49152,1933312,0.615158,1024,1,3120,1,46,1500,128,4,366818.437500,4,18,1,0,6002,8,8,30208,0,512,1,2817720320,7,0,59,1,128,4,1,0.615219,1000,0,13632545.781250,6000,6000,1,14,
2899968,13844214.421875,1,1,45312,208.645,204.751,1040642.578125,8,5376,7,2,64,49152,2899968,0.651442,1024,1,4160,1,46,1000,128,6,359250.937500,4,18,1,0,6002,8,6,45312,0,768,1,2817720320,7,0,59,1,128,6,1,0.651517,1000,0,13845517.437500,6000,6000,1,14,
3866624,13916782.531250,1,1,60416,164.596,161.523,1058511.140625,8,7168,7,2,64,49152,3866624,0.825812,1024,1,5200,1,46,750,128,8,341344.687500,4,18,1,0,6002,8,5,60416,0,1024,1,2817720320,7,0,59,1,128,8,1,0.825877,1000,0,13919839.328125,6000,6000,1,14,
483328,15014693.281250,1,1,15104,134.837,287.653,1856187.937500,8,896,7,2,64,49152,226560,1.0081,1024,2,816,1,200,3000,30,2,1188303.625000,4,19,1,0,6004,8,31,7080,128,128,2,2817720320,7,0,59,1,32,4,0.46875,1.00815,1000,896,15015067.281250,6000,6000,1,14,
724992,15701032.750000,1,1,22656,170.898,273.437,1421561.312500,8,1344,7,2,64,49152,453120,0.795358,1024,2,1088,1,200,1500,30,4,860575.312500,4,19,1,0,6004,8,23,14160,192,192,2,2817720320,7,0,59,1,32,6,0.625,0.795421,1000,1344,15709398.750000,6000,6000,1,14,
966656,15395645.468750,1,1,30208,190.578,271.044,1278560.781250,8,1792,7,2,64,49152,679680,0.713225,1024,2,1360,1,200,1000,30,6,750092.593750,4,19,1,0,6004,8,19,21240,256,256,2,2817720320,7,0,59,1,32,8,0.703125,0.713283,1000,1792,15401975.531250,6000,6000,1,14,
1208320,15130237.968750,1,1,37760,194.585,259.447,1216180.906250,8,2240,7,2,64,49152,906240,0.698528,1024,2,1632,1,200,750,30,8,685170.718750,4,19,1,0,6004,8,16,28320,320,320,2,2817720320,7,0,59,1,32,10,0.75,0.698594,1000,2240,15136451.718750,6000,6000,1,14,
1449984,14884100.968750,1,1,45312,194.212,248.592,1165701.000000,8,2688,7,2,64,49152,1132800,0.69987,1024,2,1904,1,200,600,30,10,660670.031250,4,19,1,0,6004,8,13,35400,384,384,2,2817720320,7,0,59,1,32,12,0.78125,0.699935,1000,2688,14890951.906250,6000,6000,1,14,
966656,15015312.281250,1,1,30208,132.72,271.81,2050482.156250,8,1792,7,2,64,49152,468224,1.02418,1024,2,1584,1,96,3000,62,2,871865.500000,4,19,1,0,6004,8,16,14632,256,256,2,2817720320,7,0,59,1,64,4,0.484375,1.02423,1000,1792,15026915.250000,6000,6000,1,14,
1449984,15625462.093750,1,1,45312,165.924,254.859,1557374.375000,8,2688,7,2,64,49152,936448,0.819214,1024,2,2112,1,96,1500,62,4,632492.750000,4,19,1,0,6004,8,12,29264,384,384,2,2817720320,7,0,59,1,64,6,0.645833,0.819267,1000,2688,15632567.812500,6000,6000,1,14,
1933312,15289487.031250,1,1,60416,180.97,247.085,1405642.968750,8,3584,7,2,64,49152,1404672,0.751079,1024,2,2640,1,96,1000,62,6,542318.531250,4,19,1,0,6004,8,10,43896,512,512,2,2817720320,7,0,59,1,64,8,0.726562,0.751151,1000,3584,15295189.593750,6000,6000,1,14,
2416640,15028398.656250,1,1,75520,200.989,257.266,1319003.281250,8,4480,7,2,64,49152,1872896,0.676278,1024,2,3168,1,96,750,62,8,506927.312500,4,19,1,0,6004,8,8,58528,640,640,2,2817720320,7,0,59,1,64,10,0.775,0.676336,1000,4480,15033342.375000,6000,6000,1,14,
2899968,14871426.531250,1,1,90624,207.787,255.329,1265703.218750,8,5376,7,2,64,49152,2341120,0.65415,1024,2,3696,1,96,600,62,10,487056.750000,4,19,1,0,6004,8,7,73160,768,768,2,2817720320,7,0,59,1,64,12,0.807292,0.654207,1000,5376,14878447.125000,6000,6000,1,14,
1449984,14870275.906250,1,1,45312,126.902,255.834,2116065.625000,8,2688,7,2,64,49152,709888,1.07114,1024,2,2352,1,63,3000,94,2,760255.937500,4,19,1,0,6004,8,11,22184,384,384,2,2817720320,7,0,59,1,96,4,0.489583,1.07119,1000,2688,14883773.687500,6000,6000,1,14,
2174976,15512590.562500,1,1,67968,172.084,260.19,1595719.031250,8,4032,7,2,64,49152,1419776,0.789882,1024,2,3136,1,63,1500,94,4,561145.500000,4,19,1,0,6004,8,8,44368,576,576,2,2817720320,7,0,59,1,96,6,0.652778,0.789942,1000,4032,15520734.125000,6000,6000,1,14,
2899968,15241011.968750,1,1,90624,191.723,257.675,1426972.218750,8,5376,7,2,64,49152,2129664,0.708964,1024,2,3920,1,63,1000,94,6,490259.656250,4,19,1,0,6004,8,7,66552,768,768,2,2817720320,7,0,59,1,96,8,0.734375,0.709024,1000,5376,15247371.250000,6000,6000,1,14,
