Total FP,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Max Blocks,Num Blocks (Shared),Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
483328,1,1,7552,250.092,249.425,8,896,7,2,64,49152,483328,5,0.543481,1024,1,816,1,187,1500,Tesla C2050,32,4,4,18,1,2,6002,8,31,7552,0,128,1,2817720320,7,0,59,1,32,4,1,0.543545,1000,0,6000,51,6000,1,14,
724992,1,1,11328,242.06,241.415,8,1344,7,2,64,49152,724992,5,0.56152,1024,1,1088,1,187,1000,Tesla C2050,32,6,4,18,1,2,6002,8,23,11328,0,192,1,2817720320,7,0,59,1,32,6,1,0.561579,1000,0,6000,51,6000,1,14,
966656,1,1,15104,239.363,238.725,8,1792,7,2,64,49152,966656,5,0.567846,1024,1,1360,1,187,750,Tesla C2050,32,8,4,18,1,2,6002,8,19,15104,0,256,1,2817720320,7,0,59,1,32,8,1,0.567907,1000,0,6000,51,6000,1,14,
1208320,1,1,18880,240.602,239.96,8,2240,7,2,64,49152,1208320,5,0.564924,1024,1,1632,1,187,600,Tesla C2050,32,10,4,18,1,2,6002,8,16,18880,0,320,1,2817720320,7,0,59,1,32,10,1,0.564984,1000,0,6000,51,6000,1,14,
1449984,1,1,22656,245.356,244.702,8,2688,7,2,64,49152,1449984,5,0.553981,1024,1,1904,1,187,500,Tesla C2050,32,12,4,18,1,2,6002,8,13,22656,0,384,1,2817720320,7,0,59,1,32,12,1,0.554036,1000,0,6000,51,6000,1,14,
966656,1,1,15104,217.402,215.663,8,1792,7,2,64,49152,966656,5,0.625218,1024,1,1584,1,93,1500,Tesla C2050,64,4,4,18,1,2,6002,8,16,15104,0,256,1,2817720320,7,0,59,1,64,4,1,0.625274,1000,0,6000,51,6000,1,14,
1449984,1,1,22656,250.423,248.419,8,2688,7,2,64,49152,1449984,5,0.542763,1024,1,2112,1,93,1000,Tesla C2050,64,6,4,18,1,2,6002,8,12,22656,0,384,1,2817720320,7,0,59,1,64,6,1,0.542826,1000,0,6000,51,6000,1,14,
1933312,1,1,30208,219.076,217.323,8,3584,7,2,64,49152,1933312,5,0.620437,1024,1,2640,1,93,750,Tesla C2050,64,8,4,18,1,2,6002,8,10,30208,0,512,1,2817720320,7,0,59,1,64,8,1,0.620497,1000,0,6000,51,6000,1,14,
2416640,1,1,37760,221.911,220.136,8,4480,7,2,64,49152,2416640,5,0.612506,1024,1,3168,1,93,600,Tesla C2050,64,10,4,18,1,2,6002,8,8,37760,0,640,1,2817720320,7,0,59,1,64,10,1,0.612569,1000,0,6000,51,6000,1,14,
2899968,1,1,45312,228.632,226.803,8,5376,7,2,64,49152,2899968,5,0.594504,1024,1,3696,1,93,500,Tesla C2050,64,12,4,18,1,2,6002,8,7,45312,0,768,1,2817720320,7,0,59,1,64,12,1,0.594562,1000,0,6000,51,6000,1,14,
